latin,norsk,svensk,status,count
Monticola saxatilis,steintrost,stentrast,,5
Leiothlypis peregrina,møllparula,tennesseeskogssångare,,5
Alectoris rufa,rødhøne,rödhöna,NK,4
Falco cherrug,tartarfalk,tatarfalk,LO,4
Pycnonotus leucotis,hvitørebylbyl,vitkindad bulbyl,,4
Eophona personata,gråkjernebiter,större maskstenknäck,,4
Hesperiphona vespertina,gulbrynkjernebiter,aftonstenknäck,,4
Colinus virginianus,nordkrattvaktel,virginiavaktel,,4
Ardeola bacchus,vinhegre,bacchushäger,,3
Phoeniconaias minor,dvergflamingo,mindre flamingo,,3
Limosa haemastica,svartvingespove,hudsonspov,,3
Cathartes aura,kalkunkondor,kalkongam,,3
Molothrus ater,brunhodetrupial,brunhuvad kostare,,3
Cardinalis cardinalis,rødkardinal,röd kardinal,,3
Irania gutturalis,hvitstrupenattergal,vitstrupig näktergal,,3
Passerina ciris,pavespurv,påvekardinal,,3
Passer hispaniolensis,middelhavsspurv,spansk sparv,,3
Thalasseus maximus,kongeterne,kungstärna,,3
Onychoprion anaethetus,tøyleterne,tygeltärna,,3
Carpodacus sibiricus,langhalefink,långstjärtad rosenfink,,3
Porphyrio porphyrio,sultanhøne,västlig purpurhöna,,2
Hirundapus caudacutus,pigghaleseiler,taggstjärtseglare,,2
Melopsittacus undulatus,undulat,undulat,,2
Fratercula cirrhata,topplunde,tofslunne,,2
Fratercula corniculata,hornlunde,hornlunne,,2
Daption capense,flekkpetrell,brokpetrell,,2
Carpodacus roseus,karminfink,sibirisk rosenfink,,2
Streptopelia roseogrisea,saheldue,skrattduva,,2
Bucanetes mongolicus,steinfink,mongolfink,,2
Otis tarda,stortrappe,stortrapp,,1
Pelecanus rufescens,rosenpelikan,rosaryggig pelikan,,1
Elanus caeruleus,svartvingeglente,svartvingad glada,,1
Gyps fulvus,gåsegribb,gåsgam,,1
Haliaeetus leucoryphus,båndhavørn,bandhavsörn,,1
Buteo swainsoni,prærievåk,prärievråk,NK,1
Hieraaetus pennatus,dvergørn,dvärgörn,,1
Cursorius cursor,ørkenløper,ökenlöpare,,1
Butorides striata,krabbehegre,mangrovehäger,,1
Botaurus lentiginosus,amerikarørdrum,amerikansk rördrom,,1
Sula leucogaster,brunsule,brunsula,,1
Thalassarche chrysostoma,gråhodealbatross,gråhuvad albatross,,1
Pterodroma mollis,silkepetrell,sammetspetrell,,1
Aptenodytes patagonicus,kongepingvin,kungspingvin,,1
Calidris subminuta,langtåsnipe,långtåsnäppa,,1
Calidris tenuirostris,sibirsnipe,kolymasnäppa,,1
Numenius minutus,dvergspove,dvärgspov,,1
Xanthocephalus xanthocephalus,gulhodetrupial,gulhuvad ängstrupial,,1
Dolichonyx oryzivorus,bobolink,bobolink,,1
Pycnonotus aurigaster,sothettebylbyl,sothuvad bulbyl,,1
Spiza americana,sisselspurv,dickcissel,,1
Emberiza chrysophrys,gulbrynspurv,gulbrynad sparv,,1
Phylloscopus coronatus,østkronsanger,östlig kronsångare,,1
Euplectes afer,gulkronebisp,gulkronad eldvävare,,1
Coccyzus americanus,gulnebbgjøk,gulnäbbad regngök,,1
Porphyrio martinica,amerikapurpurhøne,amerikansk sultanhöna,,1
Oceanites oceanicus,oseanstormsvale,havslöpare,,1
Icterus wagleri,svartgumptrupial,svartgumpad trupial,,1
Passerina caerulea,blåtykknebb,blåkardinal,,1
Ficedula mugimaki,mugimakifluesnapper,mugimakiflugsnappare,,1
Prunella collaris,alpejernspurv,alpjärnsparv,,1
Agropsar sturninus,mandsjuriastær,amurstare,,1
Lanius borealis,borealvarsler,beringvarfågel,,1
Gyps himalayensis,himalayagribb,snögam,,1
Dicrurus leucophaeus,askedrongo,grå drongo,,1
