latin,norsk,svensk,status,count
Turdus viscivorus,duetrost,dubbeltrast,,54762
Anas acuta,stjertand,stjärtand,VU,54321
Phoenicurus phoenicurus,rødstjert,rödstjärt,,54351
Alca torda,alke,tordmule,VU,54042
Circus aeruginosus,sivhauk,brun kärrhök,NT,51880
Buteo lagopus,fjellvåk,fjällvråk,,50938
Nucifraga caryocatactes,nøttekråke,nötkråka,,49625
Pandion haliaetus,fiskeørn,fiskgjuse,VU,49646
Calidris maritima,fjæreplytt,skärsnäppa,,48853
Dryobates minor,dvergspett,mindre hackspett,,48475
Acrocephalus schoenobaenus,sivsanger,sävsångare,,46428
Aegithalos caudatus,stjertmeis,stjärtmes,,45925
Corvus frugilegus,kornkråke,råka,VU,45859
Sterna paradisaea,rødnebbterne,silvertärna,,45714
Turdus torquatus,ringtrost,ringtrast,,44798
Falco columbarius,dvergfalk,stenfalk,,44387
Aythya marila,bergand,bergand,EN,43943
Gavia immer,islom,svartnäbbad islom,,43571
Plectrophenax nivalis,snøspurv,snösparv,,43201
Lyrurus tetrix,orrfugl,orre,,42986
Tachybaptus ruficollis,dvergdykker,smådopping,EN,41240
Columba oenas,skogdue,skogsduva,,40888
Calidris canutus,polarsnipe,kustsnäppa,,40642
Arenaria interpres,steinvender,roskarl,NT,39975
Lanius excubitor,varsler,varfågel,,39473
Acrocephalus scirpaceus,rørsanger,rörsångare,,39201
Hippolais icterina,gulsanger,härmsångare,,38918
Gallinula chloropus,sivhøne,rörhöna,VU,36581
Acrocephalus palustris,myrsanger,kärrsångare,,36790
Stercorarius parasiticus,tyvjo,kustlabb,VU,36249
Spatula clypeata,skjeand,skedand,VU,35213
Luscinia svecica,blåstrupe,blåhake,,35283
Lanius collurio,tornskate,törnskata,,35167
Lagopus lagopus,lirype,dalripa,,32649
Rallus aquaticus,vannrikse,vattenrall,VU,30806
Jynx torquilla,vendehals,göktyta,,30326
Pluvialis squatarola,tundralo,kustpipare,,28984
Picus canus,gråspett,gråspett,,28768
Calidris minuta,dvergsnipe,småsnäppa,,28184
Mareca strepera,snadderand,snatterand,NT,27911
Larus hyperboreus,polarmåke,vittrut,,27681
Thinornis dubius,dverglo,mindre strandpipare,VU,26980
Mergellus albellus,lappfiskand,salskrake,VU,26657
Alle alle,alkekonge,alkekung,,25892
Circus cyaneus,myrhauk,blå kärrhök,EN,25551
Calidris alba,sandløper,sandlöpare,,24181
Fulmarus glacialis,havhest,stormfågel,EN,23510
Surnia ulula,haukugle,hökuggla,,23170
Podiceps grisegena,gråstrupedykker,gråhakedopping,,23148
Calidris temminckii,temmincksnipe,mosnäppa,,23015
Luscinia luscinia,nattergal,näktergal,NT,22715
Tringa erythropus,sotsnipe,svartsnäppa,,22380
Limosa limosa,svarthalespove,rödspov,CR,21724
Anser albifrons,tundragås,bläsgås,,21161
Calcarius lapponicus,lappspurv,lappsparv,EN,20835
Carpodacus erythrinus,rosenfink,rosenfink,NT,20970
Phasianus colchicus,fasan,fasan,LO,20807
Corvus corone,kråke,kråka,,688258
Phylloscopus sibilatrix,bøksanger,grönsångare,,20260
Loxia pytyopsittacus,furukorsnebb,större korsnäbb,,19724
Asio flammeus,jordugle,jorduggla,,18303
Aythya ferina,taffeland,brunand,,17877
Tetrao urogallus,storfugl,tjäder,,17653
Somateria spectabilis,praktærfugl,praktejder,,17631
Saxicola rubicola,svartstrupe,svarthakad buskskvätta,EN,17386
Falco subbuteo,lerkefalk,lärkfalk,NT,17273
Calidris ferruginea,tundrasnipe,spovsnäppa,,17008
Stercorarius skua,storjo,storlabb,,16659
Anser fabalis,taigasædgås,tajgasädgås,EN,15545
Branta bernicla,ringgås,prutgås,,15342
Spatula querquedula,knekkand,årta,EN,15266
Glaucidium passerinum,spurveugle,sparvuggla,,15098
Coturnix coturnix,vaktel,vaktel,VU,14765
Fratercula arctica,lunde,lunnefågel,EN,14653
Aquila chrysaetos,kongeørn,kungsörn,,14612
Lagopus muta,fjellrype,fjällripa,,14516
Larus glaucoides,grønlandsmåke,vitvingad trut,,14407
Perisoreus infaustus,lavskrike,lavskrika,,13718
Lymnocryptes minimus,kvartbekkasin,dvärgbeckasin,,13562
Gavia adamsii,gulnebblom,vitnäbbad islom,VU,13571
Aegolius funereus,perleugle,pärluggla,,13071
Caprimulgus europaeus,nattravn,nattskärra,,13083
Pinicola enucleator,konglebit,tallbit,NT,12851
Picoides tridactylus,tretåspett,tretåig hackspett,NT,12632
Dendrocopos leucotos,hvitryggspett,vitryggig hackspett,,11979
Hydrocoloeus minutus,dvergmåke,dvärgmås,VU,11671
Pernis apivorus,vepsevåk,bivråk,NT,11414
Phalaropus lobatus,svømmesnipe,smalnäbbad simsnäppa,NT,11225
Eremophila alpestris,fjellerke,berglärka,,10950
Crex crex,åkerrikse,kornknarr,CR,10544
Locustella naevia,gresshoppesanger,gräshoppsångare,NT,10549
Asio otus,hornugle,hornuggla,,10450
Tetrastes bonasia,jerpe,järpe,,9843
Panurus biarmicus,skjeggmeis,skäggmes,EN,9675
Acanthis hornemanni,polarsisik,,,9595
Phylloscopus inornatus,gulbrynsanger,tajgasångare,,9556
Loxia leucoptera,båndkorsnebb,bändelkorsnäbb,VU,9296
Stercorarius longicaudus,fjelljo,fjällabb,,8870
Eudromias morinellus,boltit,fjällpipare,,8815
Phoenicurus ochruros,svartrødstjert,svart rödstjärt,EN,8446
Ardea alba,egretthegre,ägretthäger,,7776
Anser serrirostris,tundrasædgås,tundrasädgås,VU,7673
Lullula arborea,trelerke,trädlärka,NT,7620
Aix galericulata,mandarinand,mandarinand,LO,6946
Alcedo atthis,isfugl,kungsfiskare,,6623
Anthus cervinus,lappiplerke,rödstrupig piplärka,,6349
Thalasseus sandvicensis,splitterne,kentsk tärna,,5862
Anser indicus,stripegås,stripgås,LO,5205
Falco rusticolus,jaktfalk,jaktfalk,VU,5156
Polysticta stelleri,stellerand,alförrädare,VU,5088
Stercorarius pomarinus,polarjo,bredstjärtad labb,,5015
Phalaropus fulicarius,polarsvømmesnipe,brednäbbad simsnäppa,,4745
Curruca nisoria,hauksanger,höksångare,CR,4717
Porzana porzana,myrrikse,småfläckig sumphöna,EN,4602
Uria lomvia,polarlomvi,spetsbergsgrissla,CR,4267
Hydrobates pelagicus,havsvale,stormsvala,,4143
Calidris falcinellus,fjellmyrløper,myrsnäppa,NT,3704
Acrocephalus dumetorum,busksanger,busksångare,,3572
Anthus richardi,tartarpiplerke,större piplärka,,3477
