latin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Garrulus glandarius,14940,8563,10463,11111,8672,4190,3713,5886,18503,24815,14815,10496
Grus grus,95,132,8365,42259,37079,14144,8917,11967,9181,851,171,89
Clangula hyemalis,18412,16008,18135,14923,11224,7439,3518,1749,2245,11454,13959,10635
Linaria cannabina,74,80,4488,26795,28624,12528,12997,17456,16966,8505,779,93
Anthus petrosus,9711,6868,15714,14910,10769,6552,6465,8753,14181,17135,10962,7020
Tringa nebularia,9,0,4,6134,47701,11496,17713,33254,10574,1612,144,12
Apus apus,0,1,0,67,31224,35497,33684,24566,2633,219,44,0
Pluvialis apricaria,156,184,1634,13665,36831,15846,12680,19887,17370,6532,696,148
Gavia stellata,7619,5938,6125,16764,25411,10855,7733,7913,7471,11766,8966,4795
Phalacrocorax aristotelis,11229,9688,11345,10183,10533,5313,4993,6707,9396,10411,6852,5593
Picus viridis,3716,4184,14350,18792,12853,5945,8116,9077,7813,9504,5263,2564
Delichon urbicum,0,0,4,4294,34036,21330,18872,18264,4508,508,37,0
Anser brachyrhynchus,2296,1587,10806,31575,16061,2932,1734,1558,11814,14507,4256,1931
Ficedula hypoleuca,0,0,6,4558,55747,23849,7463,5737,2698,588,2,0
Sterna hirundo,0,0,1,4462,36763,22735,21063,11540,3297,432,13,0
Podiceps auritus,7458,6095,7408,15553,19076,6736,5725,5894,6320,7818,6508,4635
Podiceps cristatus,3936,3275,7521,18111,16031,7239,6773,7903,9106,9063,4998,2825
Columba livia,15077,8838,9881,9564,8578,5534,5336,6383,6652,7143,6314,6845
Falco tinnunculus,2038,1322,1991,14519,18253,8987,8530,12455,18308,4511,1150,1337
Branta leucopsis,1975,1610,6677,13861,21142,9751,8680,9306,8197,7745,1938,1216
Sylvia communis,0,0,0,540,38234,23644,11808,10422,2986,213,6,0
Saxicola rubetra,14,0,3,1786,33415,15165,9861,16582,8395,1285,224,38
Gavia arctica,2029,1477,1529,11326,27181,13533,9819,7282,5525,3907,1872,1129
Fulica atra,7895,5327,7313,14184,13532,6766,5466,5393,5375,5052,4081,4271
Cepphus grylle,7830,8159,8756,8791,10129,7328,6358,5287,5034,6638,5327,3768
Bombycilla garrulus,13741,8214,5415,2075,1278,1436,1275,767,809,17864,18640,11376
Sylvia borin,1,0,0,16,30058,25369,10746,8942,6369,1530,47,2
Coccothraustes coccothraustes,8993,5448,7695,16363,12740,5165,4227,2701,4194,5212,4325,5527
Motacilla cinerea,1732,755,7247,17158,9614,5036,3870,4972,12379,13449,3942,1696
Loxia curvirostra,6761,5059,5341,4611,4380,4591,6850,8114,8979,13076,8418,4814
Certhia familiaris,9371,6396,7534,7035,5465,2909,3047,3883,7497,12980,8254,6282
Motacilla flava,4,0,3,1121,23708,11511,9353,23845,9464,734,64,15
Anthus trivialis,0,0,3,4997,27673,12436,5324,15782,11406,1189,12,3
Streptopelia decaocto,8533,5854,6944,8570,10919,6185,4647,5216,5800,5100,5002,5386
Cinclus cinclus,13729,9404,9497,10836,7703,3290,1768,1154,1821,4495,5237,8351
Poecile palustris,9959,6941,8895,8631,5434,2524,2935,4523,5491,7756,7129,6660
Falco peregrinus,5368,3825,3138,4683,4195,1956,3327,15345,16912,8733,4264,3281
Calidris pugnax,1,4,50,1081,14017,6764,6698,26670,17016,1747,129,6
Riparia riparia,1,1,32,5801,26483,14666,12215,10341,3550,344,11,0
Morus bassanus,2142,1378,3732,6439,9939,4753,6470,7899,10032,11027,3403,1640
Dryocopus martius,3785,4081,7991,9404,9252,3979,3189,5579,8166,6514,3767,2507
Cuculus canorus,0,0,0,209,32097,26257,5111,3657,945,15,0,0
Tringa glareola,0,0,1,1900,30203,10647,11429,11802,1076,56,2,0
Sylvia curruca,10,0,2,1361,33112,12642,5582,8363,4003,1603,140,7
Scolopax rusticola,4522,2448,6447,11653,13326,12415,4789,873,987,2864,3387,2963
Accipiter gentilis,6843,4703,5840,7358,3341,1376,1624,5317,7782,8714,6257,5047
Muscicapa striata,0,0,0,58,20480,13643,11741,13215,4191,508,1,0
Tringa ochropus,13,17,283,25555,14392,4848,9112,8505,730,39,14,11
Uria aalge,6311,6503,6244,4512,3992,2480,1863,1075,6251,11610,8185,3986
Rissa tridactyla,5527,3915,3590,3487,6805,6370,4911,3638,4972,8808,5711,3335
Lophophanes cristatus,7046,5754,5855,4483,3361,3221,4021,4220,6100,6848,5145,4578
Linaria flavirostris,1243,924,2375,11801,7723,3700,3807,4033,6062,11656,3500,903
Limosa lapponica,407,357,1393,6560,8292,4517,7093,9732,13571,4667,834,295
Numenius phaeopus,10,10,9,2515,31046,9580,8056,5389,776,81,10,10
Strix aluco,4287,4917,8623,7878,9688,5926,2081,2872,3681,3079,2057,2316
Turdus viscivorus,794,683,7466,20990,9447,4114,1847,961,2441,4689,866,464
Anas acuta,2907,2502,3910,9487,9875,3902,1343,3575,7493,5587,2221,1519
Phoenicurus phoenicurus,0,0,1,2208,21724,10919,4972,6148,6555,1779,43,2
Alca torda,7211,4457,2246,2132,4118,3007,2609,912,3213,9383,9794,4960
Circus aeruginosus,0,19,267,10422,14090,5612,4957,11191,5053,248,21,0
Buteo lagopus,2339,1697,1823,8450,9190,4751,3987,3720,5815,5434,2191,1541
Nucifraga caryocatactes,1931,1421,1593,1297,1553,1881,5788,11770,11019,6934,2865,1573
Pandion haliaetus,0,0,185,11146,12959,5811,6201,9546,3613,169,15,1
Calidris maritima,6494,6163,6574,3655,3961,3498,2866,2237,2164,4310,3879,3052
Dryobates minor,1470,1531,5467,11999,7191,2977,2695,3476,4673,4161,1781,1054
Acrocephalus schoenobaenus,0,0,0,812,16905,16364,6558,4483,1213,91,2,0
Aegithalos caudatus,4156,2852,5387,4620,2935,1523,1015,1052,2897,9498,6054,3936
Corvus frugilegus,5240,4023,6291,7084,4857,1602,1392,2198,2943,4518,3082,2629
Sterna paradisaea,0,0,2,297,10530,14233,11210,5780,2643,947,72,0
Turdus torquatus,126,119,230,15872,13365,6519,3543,1001,1731,2067,188,37
Falco columbarius,1013,634,1173,7470,6612,2865,3111,6410,10289,3295,887,628
Aythya marila,5368,3869,3412,3660,4763,2321,1285,1071,1521,6321,6670,3682
Gavia immer,6282,5186,5685,6578,5523,1201,679,434,940,3106,4303,3654
Plectrophenax nivalis,2095,1601,7622,10050,2904,2917,3226,1150,2473,4154,3387,1622
Lyrurus tetrix,2456,2161,3538,9589,10682,3446,1178,1065,2333,3199,1874,1465
Tachybaptus ruficollis,9189,6128,5075,2673,740,397,472,783,1890,4433,4614,4846
Columba oenas,392,997,8012,10093,7268,2629,2146,3270,3352,2197,356,176
Calidris canutus,309,291,407,843,6513,1488,4866,14871,8912,1551,400,191
Arenaria interpres,1960,1555,1279,1089,6272,3727,3835,10259,5710,1991,1192,1106
Lanius excubitor,5137,4256,5219,3577,583,707,714,878,3402,6199,4801,4000
Acrocephalus scirpaceus,0,0,0,72,13469,12538,5484,5052,2173,412,1,0
Hippolais icterina,0,0,0,9,18350,15643,3071,1720,116,9,0,0
Gallinula chloropus,3086,1730,1696,5380,5104,2493,2308,3606,3847,3532,2022,1777
Acrocephalus palustris,0,0,0,0,6524,25131,2820,1977,317,21,0,0
Stercorarius parasiticus,3,0,13,396,8289,10205,7963,5646,3030,650,52,2
Spatula clypeata,189,156,479,6144,13174,4291,1280,1818,3302,3387,770,223
Luscinia svecica,24,0,0,41,8496,8856,6233,8412,2964,228,26,3
Lanius collurio,0,0,1,28,7365,6260,7833,11331,2099,230,20,0
Lagopus lagopus,1464,1732,2518,3771,6648,6765,3913,1714,1511,1241,595,777
Rallus aquaticus,3965,1556,1275,2247,3049,2092,1003,1812,2443,4259,4166,2939
Jynx torquilla,0,0,1,4146,18223,4195,1848,1398,442,71,2,0
Pluvialis squatarola,190,158,134,264,1309,421,1702,5018,11367,7416,833,172
Picus canus,2451,2218,3683,4211,2517,900,908,607,1985,4952,2478,1858
Calidris minuta,25,0,13,4,1202,1530,3281,11473,9621,955,55,25
Mareca strepera,718,611,1360,7629,10076,2763,901,650,1115,1094,640,354
Larus hyperboreus,3325,3163,3702,2569,3006,3233,2530,1745,1323,1491,731,863
Charadrius dubius,0,0,54,5049,11362,4560,3890,1846,213,6,0,0
Mergellus albellus,4310,3249,4282,4392,1388,1122,292,316,518,1876,2448,2464
Alle alle,4243,1744,436,485,323,441,620,276,262,4907,8389,3766
Circus cyaneus,2022,1456,1068,3820,2653,10,7,1276,6449,3525,1821,1444
Calidris alba,193,145,156,108,1660,2441,3366,7909,6391,1332,366,114
Fulmarus glacialis,775,669,807,1522,4406,3565,2824,2892,3120,1997,473,460
Surnia ulula,2906,2254,2193,1641,1204,1515,457,762,2387,3212,2588,2051
Podiceps grisegena,3059,2801,3194,3022,1303,371,341,427,995,3042,2767,1826
Calidris temminckii,0,0,0,5,9294,5093,3392,4658,552,21,0,0
Luscinia luscinia,0,0,0,49,12272,7586,1557,1187,49,15,0,0
Tringa erythropus,3,3,7,285,3133,2435,2745,10117,3294,317,37,4
Limosa limosa,11,7,284,3985,7218,2219,883,2920,3298,796,91,12
Anser albifrons,3099,2308,4108,3425,1990,344,89,181,640,1279,1720,1978
Calcarius lapponicus,308,145,397,3659,2934,4468,2076,738,2572,2575,728,235
Carpodacus erythrinus,0,0,0,1,8420,8607,2041,979,534,355,22,11
Phasianus colchicus,1178,843,2158,4139,3815,1513,929,1177,1342,1640,1209,864
Corvus corone,1797,1420,2001,2499,3559,1441,881,1340,1989,2463,1301,987
Phylloscopus sibillatrix,0,0,0,908,12197,4849,946,794,528,38,0,0
Loxia pytyopsittacus,1446,1078,1528,1716,1424,1483,1181,778,1665,4280,2090,1055
Asio flammeus,361,403,739,2715,5373,3064,1335,544,909,1944,683,233
Aythya ferina,1575,1348,1478,2304,1928,564,559,749,1544,2309,2108,1411
Tetrao urogallus,928,918,1295,2792,3372,1465,1025,873,1407,1782,1051,745
Somateria spectabilis,1654,2018,2424,1992,2184,3571,1658,484,339,403,519,385
Saxicola rubicola,887,1013,4052,1742,1408,566,538,884,1339,2496,1691,770
Falco subbuteo,0,0,0,335,4496,3052,2356,3864,3017,151,2,0
Calidris ferruginea,2,0,1,12,319,371,3425,7077,5407,385,7,2
Stercorarius skua,47,24,19,645,2593,2466,3718,3483,2518,940,123,83
Anser fabalis,1630,1386,2199,2311,3580,6,4,5,830,1303,1153,1138
Branta bernicla,231,106,292,460,4145,2167,885,847,2661,2451,945,152
Spatula querquedula,0,0,164,3826,9109,1482,232,251,139,57,5,1
Glaucidium passerinum,2109,2059,2044,903,392,378,133,279,1089,2388,1899,1425
Coturnix coturnix,2,0,0,6,2417,7069,3533,1537,149,39,12,1
Fratercula arctica,595,738,582,1098,2176,2624,3060,1136,931,1013,455,245
Aquila chrysaetos,3580,1494,96,88,70,28,25,938,2375,2185,1790,1943
Lagopus muta,293,517,1009,1515,1631,3528,2936,1355,891,477,227,137
Larus glaucoides,3660,2927,2620,1528,970,522,155,109,131,211,546,1028
Perisoreus infaustus,726,947,1369,924,1120,1820,1645,1128,1201,1532,829,477
Lymnocryptes minimus,794,360,392,952,423,489,111,171,2004,5796,1409,661
Gavia adamsii,1404,1506,1634,2359,3134,541,218,156,367,1021,804,427
Aegolius funereus,674,1623,3527,2251,1569,615,146,176,872,1067,295,256
Caprimulgus europaeus,0,0,0,14,2699,7405,1382,1243,327,13,0,0
Pinicola enucleator,1876,821,467,258,198,484,191,53,92,1307,4450,2654
Picoides tridactylus,647,822,1070,1577,1653,1411,1105,808,1055,1319,655,510
Dendrocopos leucotos,474,710,1760,2721,2341,936,651,543,494,618,357,374
Hydrocoloeus minutus,266,116,92,286,3823,2488,921,1386,748,881,520,144
Pernis apivorus,0,0,0,24,2388,1691,2252,3533,1472,53,1,0
Phalaropus lobatus,0,0,0,1,1770,6047,2231,1053,84,39,0,0
Eremophila alpestris,513,273,365,1384,1234,2112,1582,287,328,1867,679,326
Crex crex,0,0,0,23,2836,5564,1817,204,76,22,1,1
Locustella naevia,0,0,0,514,4636,3343,990,634,311,121,0,0
Asio otus,451,540,920,995,1252,3156,1498,296,260,450,354,278
Tetrastes bonasia,539,448,668,1241,1446,981,780,599,796,1080,775,490
Panurus biarmicus,1145,513,418,721,1118,601,505,477,635,1466,1268,808
Acanthis hornemanni,1648,1453,1235,670,306,688,242,146,919,1185,560,543
Phylloscopus inornatus,0,0,0,5,16,2,0,7,5128,4294,104,0
Loxia leucoptera,717,479,321,268,178,130,643,1553,1313,1756,1312,626
Stercorarius longicaudus,0,0,0,0,1925,4005,1915,619,315,87,4,0
Charadrius morinellus,0,0,0,138,4677,2053,1306,464,153,21,3,0
Phoenicurus ochruros,453,210,658,1983,1477,468,215,130,163,932,1371,386
Ardea alba,345,148,315,1638,1616,595,332,532,911,553,562,229
Anser serrirostris,833,799,1038,1040,1999,452,51,43,97,346,485,490
Lullula arborea,348,196,1565,1920,920,574,128,113,489,864,363,140
Aix galericulata,774,441,410,1311,1235,337,178,280,702,647,327,304
Alcedo atthis,1153,570,350,410,406,219,290,432,777,862,576,578
Anthus cervinus,0,0,1,15,614,2123,696,538,1862,482,18,0
Thalasseus sandvicensis,0,4,22,281,1017,1524,1702,964,255,81,10,2
Anser indicus,10,2,4,129,836,1144,671,961,937,351,117,43
Falco rusticolus,752,263,46,19,17,4,4,515,1525,1013,570,428
Polysticta stelleri,294,408,1259,1288,692,613,193,25,23,91,96,106
Stercorarius pomarinus,15,7,12,41,2056,726,366,441,521,539,220,71
Phalaropus fulicarius,34,3,2,0,303,1975,1387,225,131,347,238,100
Sylvia nisoria,0,0,0,0,367,574,317,895,1595,885,84,0
Porzana porzana,0,0,0,316,1803,1571,407,219,232,45,7,2
Uria lomvia,242,86,230,508,493,1042,838,270,78,139,86,255
Hydrobates pelagicus,4,1,0,2,5,50,1494,1991,453,92,29,22
Calidris falcinellus,0,0,0,0,1341,765,255,1197,145,1,0,0
Acrocephalus dumetorum,0,0,0,0,197,2780,228,51,154,160,2,0
Anthus richardi,93,16,4,28,51,2,0,11,721,1855,574,122
Pagophila eburnea,48,94,218,330,511,645,767,616,130,22,55,34
Egretta garzetta,12,0,1,144,921,220,292,551,478,379,243,151
Emberiza pusilla,144,64,31,27,53,729,166,131,654,1006,183,84
Cygnus columbianus,463,304,603,331,94,10,13,5,7,279,658,361
Puffinus puffinus,3,0,1,15,296,450,745,722,446,208,9,3
Gallinago media,0,0,0,57,1164,237,199,531,468,202,8,0
Melanitta perspicillata,263,226,218,278,451,262,181,89,152,338,246,145
Streptopelia turtur,54,30,20,23,556,315,118,110,664,726,182,48
Puffinus griseus,9,3,0,1,11,20,104,711,1264,591,40,12
Poecile cinctus,88,126,242,163,167,919,332,297,171,108,80,71
Ficedula parva,0,0,0,3,504,330,42,72,653,1012,26,0
Anser caerulescens,66,18,92,624,495,206,141,225,301,250,96,71
Milvus milvus,76,102,500,950,347,94,69,161,120,78,26,68
Circus macrourus,0,0,0,214,451,125,67,335,1117,75,2,0
Anas carolinensis,15,40,126,1008,806,146,29,0,0,3,0,4
Anser erythropus,6,4,17,93,1619,13,1,17,240,64,30,8
Pastor roseus,1,0,2,4,80,228,255,251,698,439,110,6
Upupa epops,10,0,11,321,318,51,21,51,391,636,236,23
Calidris melanotos,0,0,0,52,539,452,485,174,273,59,20,2
