norsk,latin,status,count
Myrsanger,Acrocephalus palustris,,36790
Tyvjo,Stercorarius parasiticus,VU,36249
Skjeand,Spatula clypeata,VU,35213
Blåstrupe,Luscinia svecica,,35283
Tornskate,Lanius collurio,,35167
Lirype,Lagopus lagopus,,32649
Vannrikse,Rallus aquaticus,VU,30806
Vendehals,Jynx torquilla,,30326
Tundralo,Pluvialis squatarola,,28984
Gråspett,Picus canus,,28768
Dvergsnipe,Calidris minuta,,28184
Snadderand,Mareca strepera,NT,27911
Polarmåke,Larus hyperboreus,,27681
Dverglo,Charadrius dubius,VU,26980
Lappfiskand,Mergellus albellus,VU,26657
Alkekonge,Alle alle,,25892
Myrhauk,Circus cyaneus,EN,25551
Sandløper,Calidris alba,,24181
Havhest,Fulmarus glacialis,EN,23510
Haukugle,Surnia ulula,,23170
Gråstrupedykker,Podiceps grisegena,,23148
Temmincksnipe,Calidris temminckii,,23015
Nattergal,Luscinia luscinia,NT,22715
Sotsnipe,Tringa erythropus,,22380
Svarthalespove,Limosa limosa,CR,21724
Tundragås,Anser albifrons,,21161
Lappspurv,Calcarius lapponicus,EN,20835
Rosenfink,Carpodacus erythrinus,NT,20970
Fasan,Phasianus colchicus,LO,20807
Svartkråke,Corvus corone,,21678
Bøksanger,Phylloscopus sibillatrix,,20260
Furukorsnebb,Loxia pytyopsittacus,,19724
Jordugle,Asio flammeus,,18303
Taffeland,Aythya ferina,,17877
Storfugl,Tetrao urogallus,,17653
Praktærfugl,Somateria spectabilis,,17631
Afrikasvartstrupe,Saxicola rubicola,EN,17386
Lerkefalk,Falco subbuteo,NT,17273
Tundrasnipe,Calidris ferruginea,,17008
Storjo,Stercorarius skua,,16659
Taigasædgås,Anser fabalis,EN,15545
Ringgås,Branta bernicla,,15342
Knekkand,Spatula querquedula,EN,15266
Spurveugle,Glaucidium passerinum,,15098
Vaktel,Coturnix coturnix,VU,14765
Lunde,Fratercula arctica,EN,14653
Kongeørn,Aquila chrysaetos,,14612
Fjellrype,Lagopus muta,,14516
Grønlandsmåke,Larus glaucoides,,14407
Lavskrike,Perisoreus infaustus,,13718
Kvartbekkasin,Lymnocryptes minimus,,13562
Gulnebblom,Gavia adamsii,VU,13571
Perleugle,Aegolius funereus,,13071
Nattravn,Caprimulgus europaeus,,13083
Konglebit,Pinicola enucleator,NT,12851
Tretåspett,Picoides tridactylus,NT,12632
Hvitryggspett,Dendrocopos leucotos,,11979
Dvergmåke,Hydrocoloeus minutus,VU,11671
Vepsevåk,Pernis apivorus,NT,11414
Svømmesnipe,Phalaropus lobatus,NT,11225
Fjellerke,Eremophila alpestris,,10950
Åkerrikse,Crex crex,CR,10544
Gresshoppesanger,Locustella naevia,NT,10549
Hornugle,Asio otus,,10450
Jerpe,Tetrastes bonasia,,9843
Skjeggmeis,Panurus biarmicus,EN,9675
Polarsisik,Acanthis hornemanni,,9595
Gulbrynsanger,Phylloscopus inornatus,,9556
Båndkorsnebb,Loxia leucoptera,VU,9296
Fjelljo,Stercorarius longicaudus,,8870
Boltit,Charadrius morinellus,,8815
Svartrødstjert,Phoenicurus ochruros,EN,8446
Egretthegre,Ardea alba,,7776
Tundrasædgås,Anser serrirostris,VU,7673
Trelerke,Lullula arborea,NT,7620
Mandarinand,Aix galericulata,LO,6946
Isfugl,Alcedo atthis,,6623
Lappiplerke,Anthus cervinus,,6349
Splitterne,Thalasseus sandvicensis,,5862
Stripegås,Anser indicus,LO,5205
Jaktfalk,Falco rusticolus,VU,5156
Stellerand,Polysticta stelleri,VU,5088
Polarjo,Stercorarius pomarinus,,5015
Polarsvømmesnipe,Phalaropus fulicarius,,4745
Hauksanger,Sylvia nisoria,CR,4717
Myrrikse,Porzana porzana,EN,4602
Polarlomvi,Uria lomvia,CR,4267
Havsvale,Hydrobates pelagicus,,4143
Fjellmyrløper,Calidris falcinellus,NT,3704
Busksanger,Acrocephalus dumetorum,,3572
Tartarpiplerke,Anthus richardi,,3477
Ismåke,Pagophila eburnea,,3470
Silkehegre,Egretta garzetta,,3392
Dvergspurv,Emberiza pusilla,VU,3272
Dvergsvane,Cygnus columbianus,,3128
Havlire,Puffinus puffinus,,2898
Dobbeltbekkasin,Gallinago media,NT,2866
Brilleand,Melanitta perspicillata,,2849
Turteldue,Streptopelia turtur,,2846
Grålire,Puffinus griseus,,2766
Lappmeis,Poecile cinctus,,2764
Dvergfluesnapper,Ficedula parva,,2642
Snøgås,Anser caerulescens,LO,2585
Rødglente,Milvus milvus,,2591
Steppehauk,Circus macrourus,,2386
Amerikakrikkand,Anas carolinensis,,2177
Dverggås,Anser erythropus,CR,2112
Rosenstær,Pastor roseus,,2074
Hærfugl,Upupa epops,,2069
Alaskasnipe,Calidris melanotos,,2056
Elvesanger,Locustella fluviatilis,,1981
Svartehavsmåke,Ichthyaetus melanocephalus,,1944
Ringand,Aythya collaris,,1886
Stork,Ciconia ciconia,,1855
Rustand,Tadorna ferruginea,,1666
Trostesanger,Acrocephalus arundinaceus,,1620
Rødtoppfuglekonge,Regulus ignicapilla,,1586
Avosett,Recurvirostra avosetta,,1560
Amerikablesand,Mareca americana,,1555
Svartterne,Chlidonias niger,,1415
Lappsanger,Phylloscopus borealis,EN,1378
Ringnebbmåke,Larus delawarensis,,1370
Sitronerle,Motacilla citreola,,1351
Kaspimåke,Larus cachinnans,,1341
Sabinemåke,Xema sabini,,1259
Hortulan,Emberiza hortulana,CR,1160
Svartglente,Milvus migrans,,1131
Rørdrum,Botaurus stellaris,,1130
Vannpiplerke,Anthus spinoletta,,1106
Dverglerke,Calandrella brachydactyla,,1097
Sibirpiplerke,Anthus hodgsoni,,1016
Rovterne,Hydroprogne caspia,,999
Pirol,Oriolus oriolus,,967
Rødhalsgås,Branta ruficollis,,960
Sumpsanger,Locustella luscinioides,,984
Kuhegre,Bubulcus ibis,,911
Dvergterne,Sternula albifrons,,875
Aftenfalk,Falco vespertinus,,954
Svartstrupetrost,Turdus atrogularis,,813
Rødhodeand,Netta rufina,,806
Mongolturteldue,Streptopelia orientalis,,792
Russesvartstrupe,Saxicola maurus,,768
Hvithodespurv,Emberiza leucocephalos,,722
Hubro,Bubo bubo,EN,718
Lappugle,Strix nebulosa,VU,708
Skjestork,Platalea leucorodia,,732
Hvitvingesvartterne,Chlidonias leucopterus,,674
Rapphøne,Perdix perdix,RE,658
Kornspurv,Emberiza calandra,RE,658
Svarthalsdykker,Podiceps nigricollis,,648
Gulirisk,Serinus serinus,,634
Niland,Alopochen aegyptiaca,SE,631
Ørkensteinskvett,Oenanthe deserti,,626
Fuglekongesanger,Phylloscopus proregulus,,608
Vierspurv,Emberiza rustica,CR,603
Stormsvale,Oceanodroma leucorhoa,VU,596
Bieter,Merops apiaster,,594
Rødhodevarsler,Lanius senator,,563
Gulbeinmåke,Larus michahellis,,547
Enghauk,Circus pygargus,,545
Rustsnipe,Calidris subruficollis,,539
Gulkinnand,Sibirionetta formosa,,541
Sibirsjøorre,Melanitta stejnegeri,,515
Blåstjert,Tarsiger cyanurus,,513
Østsanger,Phylloscopus trochiloides,,486
Gulbeinsnipe,Tringa flavipes,,481
Rosenmåke,Rhodostethia rosea,,478
Brunsanger,Phylloscopus fuscatus,,471
Amerikagråmåke,Larus smithsonianus,,467
Blekbrynsanger,Phylloscopus humei,,467
Bonapartesnipe,Calidris fuscicollis,,451
Rosenvarsler,Lanius minor,,445
Triel,Burhinus oedicnemus,,440
Sibirlo,Pluvialis fulva,,429
Amerikastorlom,Gavia pacifica,,415
Ringnebbdykker,Podilymbus podiceps,,383
Kanadahettemåke,Chroicocephalus philadelphia,,407
Svartstrupesteinskvett,Oenanthe pleschanka,,380
Sørnattergal,Luscinia megarhynchos,,380
Knoppand,Cairina moschata,NK,343
Damsnipe,Tringa stagnatilis,,341
Ørkenlo,Charadrius leschenaultii,,331
Kanadalo,Pluvialis dominica,,326
Pungmeis,Remiz pendulinus,,325
Bronseibis,Plegadis falcinellus,,316
Franklinmåke,Leucophaeus pipixcan,,311
Sandterne,Gelochelidon nilotica,,286
Hvitbrystlo,Charadrius alexandrinus,,286
Purpurhodeand,Aythya affinis,,277
Tereksnipe,Xenus cinereus,,275
Markpiplerke,Anthus campestris,,270
Blåråke,Coracias garrulus,,268
Rødfotand,Anas rubripes,,266
Stivhaleand,Oxyura jamaicensis,LO,264
Østgulerle,Motacilla tschutschensis,,257
Svarthodespurv,Emberiza melanocephala,,257
Hvitøyeand,Aythya nyroca,,244
Eskimogås,Anser rossii,,242
Styltesnipe,Calidris himantopus,,238
Topplerke,Galerida cristata,RE,234
Myrpiplerke,Anthus rubescens,,226
Brunvarsler,Lanius cristatus,,224
Sandsnipe,Calidris pusilla,,212
Sumprikse,Porzana parva,,211
Gråvingemåke,Larus glaucescens,,211
Snøugle,Bubo scandiacus,CR,211
Langnebbekkasinsnipe,Limnodromus scolopaceus,,210
Stylteløper,Himantopus himantopus,,208
Rødsmekkesanger,Curruca cantillans,,207
Mongolpiplerke,Anthus godlewskii,,205
Flekksnipe,Actitis macularius,,203
Gulbrystsnipe,Calidris bairdii,,201
Natthegre,Nycticorax nycticorax,,198
Trompetfink,Bucanetes githagineus,,197
Maskerikse,Porzana carolina,,190
Topphegre,Ardeola ralloides,,189
Steppebrakksvale,Glareola nordmanni,,186
Isabellasteinskvett,Oenanthe isabellina,,182
Stripesanger,Locustella lanceolata,,179
Asurmeis,Cyanistes cyanus,,176
Tundrapiplerke,Anthus gustavi,,175
Brudeand,Aix sponsa,LO,172
Sørblesand,Mareca sibilatrix,LO,171
Sibirjernspurv,Prunella montanella,,166
Harlekinand,Histrionicus histrionicus,,158
Halsbåndfluesnapper,Ficedula albicollis,,157
Rosenterne,Sterna dougallii,,160
Blåvingeand,Spatula discors,,154
Svartsvane,Cygnus atratus,LO,152
Polargås,Branta hutchinsii,,148
Rødbrystsanger,Curruca iberiae,,144
Åkersanger,Acrocephalus agricola,,142
Bleksanger,Iduna pallida,,138
Slagugle,Strix uralensis,EN,133
Viersanger,Phylloscopus schwarzi,,131
Svartstork,Ciconia nigra,,128
Hjelmfiskand,Lophodytes cucullatus,LO,128
Willetsnipe,Tringa semipalmata,,126
Orientbrakksvale,Glareola maldivarum,,122
Islandsand,Bucephala islandica,,122
Gråseiler,Apus pallidus,,121
Eikesanger,Phylloscopus bonelli,,120
Vinterjunko,Junco hyemalis,,113
Purpurhegre,Ardea purpurea,,111
Hvitpannevarsler,Lanius nubicus,,110
Sangspurv,Melospiza melodia,,109
Gråhodevipe,Vanellus cinereus,,109
Balearlire,Puffinus mauretanicus,,107
Dvergsanger,Sylvia nana,,106
Steppemåke,Ichthyaetus ichthyaetus,,104
Tartarsanger,Iduna caligata,,95
Hvitkinnsvartterne,Chlidonias hybrida,,94
Halsbåndparakitt,Psittacula krameri,LO,90
Alpeseiler,Tachymarptis melba,,87
Keiserørn,Aquila heliaca,,85
Dvergtrappe,Tetrax tetrax,,85
Rødhalevarsler,Lanius phoenicuroides,,83
Amerikasvartand,Melanitta americana,,79
Rødøyevireo,Vireo olivaceus,,77
Sibirspurv,Emberiza aureola,,74
Lattermåke,Leucophaeus atricilla,,74
Gråflankefluesnapper,Muscicapa sibirica,,73
Vannsanger,Acrocephalus paludicola,,73
Bøffeland,Bucephala albeola,,73
Poseidonlire,Calonectris diomedea,,72
Spisshalesnipe,Calidris acuminata,,71
Gråhodespurv,Emberiza spodocephala,,67
Svartstrupejernspurv,Prunella atrogularis,,67
Plystresnipe,Tringa melanoleuca,,66
Svarthodesanger,Curruca melanocephala,,66
Steppehøne,Syrrhaptes paradoxus,,64
Lammegribb,Gypaetus barbatus,,62
Amerikasjøorre,Melanitta deglandi,,78
Hvithalesvømmesnipe,Phalaropus tricolor,,63
Kortnebbekkasinsnipe,Limnodromus griseus,,61
Gråkinnskogtrost,Catharus minimus,,61
Isabellavarsler,Lanius isabellinus,,59
Tårnugle,Tyto alba,,59
Sumpvipe,Vanellus leucurus,,57
Beringsnipe,Calidris mauri,,56
Rødstrupesnipe,Calidris ruficollis,,56
Skjelltrost,Zoothera aurea,,55
Åtselgribb,Neophron percnopterus,,53
Rødfalk,Falco naumanni,,53
Svartflekktrost,Turdus eunomus,,53
Hvitstrupespurv,Zonotrichia albicollis,,52
Ørnvåk,Buteo rufinus,,50
Amursvale,Cecropis daurica,,48
Eremittsnipe,Tringa solitaria,,46
Brunkinnskogtrost,Catharus ustulatus,,45
Ramasanger,Iduna rama,,45
Svarthetteparula,Setophaga striata,,45
Gulstrupespurv,Emberiza elegans,,44
Flamingo,Phoenicopterus roseus,,43
Kalanderlerke,Melanocorypha calandra,,42
Storlire,Puffinus gravis,,42
Steppeørn,Aquila nipalensis,,39
Krøllpelikan,Pelecanus crispus,,38
Svartbrynalbatross,Thalassarche melanophris,,38
Brunkinnparula,Setophaga tigrina,,35
Dvergrørdrum,Ixobrychus minutus,,33
Kanadabekkasin,Gallinago delicata,,33
Fjellkalanderlerke,Melanocorypha bimaculata,,33
