id,lokalitet,hovedlokalitet,kommune,fylke,lat,lon,count,observers,radius,geometry,public,mine,super
2088900,Edsbro kyrksjö,Edsbro,Norrtälje,,59.898804,18.520854,0,0,816,,1,0,0
2088901,Klardammen,Dannemora,Östhammar,,60.202375,17.867823,0,0,205,,1,0,0
2088902,Långa WWF-spången,Hjälstaviken,Enköping,,59.657252,17.392965,0,0,68,,1,0,0
2088903,Rosenborg,Gryta sn,Enköping,,59.742056,17.295866,0,0,146,,1,0,0
2088904,Gryta sn,,Enköping,,59.738765,17.345193,0,0,5086,,1,0,1
2088916,Föne Flygfält,,Ljusdal,,61.861269,15.795715,0,0,260,,1,0,1
2088917,Bodasjön,,Ljusdal,,61.762122,16.125388,0,0,3557,,1,0,1
2088918,"Skålbosjön, Järvsö",,Ljusdal,,61.740188,16.110494,0,0,260,,1,0,1
2088919,Kvarteret Kolga,Ekebysjön,Danderyd,,59.410671,18.060314,0,0,86,,1,0,0
2088927,Kohagen,Onsängssjön,Ljusdal,,61.839244,15.989105,0,0,478,,1,0,0
2088928,Grophamre,Onsängssjön,Ljusdal,,61.846942,15.983715,0,0,478,,1,0,0
2088929,"Heden, Onsängssjön",,Ljusdal,,61.848510,15.998196,0,0,260,,1,0,1
2088930,"Svedjebäck, Onsängssjön",,Ljusdal,,61.842275,16.003837,0,0,260,,1,0,1
2088931,"Rolfhamre, Ljusdal",,Ljusdal,,61.837149,16.004583,0,0,260,,1,0,1
2088932,"Edänge, Kläppaängarna",,Ljusdal,,61.799425,16.139195,0,0,260,,1,0,1
2088933,"Stugängarna, Kläppaängarna",,Ljusdal,,61.816465,16.105841,0,0,260,,1,0,1
2088934,"Svinhammar, Kläppaängarna",,Ljusdal,,61.810915,16.131057,0,0,260,,1,0,1
2088935,"Femmagrundet, Kläppaängarna",,Ljusdal,,61.810932,16.123313,0,0,260,,1,0,1
2088936,Ljusdals-Boda,,Ljusdal,,61.810851,16.108617,0,0,260,,1,0,1
2088937,Sjöbotjärn,,Ljusdal,,61.836128,16.154044,0,0,260,,1,0,1
2088938,"Sillerboån, Tallåsen",,Ljusdal,,61.876466,15.990353,0,0,260,,1,0,1
2088939,Letssjön,,Ljusdal,,61.897364,15.969018,0,0,260,,1,0,1
2088940,Hennan,,Ljusdal,,62.079709,15.797728,0,0,3827,,1,0,1
2088941,Gryttjen,,Hudiksvall,,61.795460,16.300030,0,0,3870,,1,0,1
2088943,"Nordsjö, Järvsö",,Ljusdal,,61.706752,16.304979,0,0,3913,,1,0,1
2088973,Lilla Åkerby,Närtuna,Norrtälje,,59.722613,18.167061,0,0,215,,1,0,0
2088988,Parkudden-Lövsta,Överenhörna,Södertälje,,59.251200,17.390998,0,0,212,,1,0,0
2088989,Månsjön,Frötuna,Norrtälje,,59.715148,18.680502,0,0,753,,1,0,0
2088993,Stångberga,,Vallentuna,,59.607306,18.319380,0,0,1571,,1,0,1
2089003,Mellingeholms skjutfält,"Limmaren, Frötuna",Norrtälje,,59.729528,18.692396,0,0,324,,1,0,0
2089004,Långören,"Rammskärsfjärdens skärgård, Rådmansö",Norrtälje,,59.732245,19.267354,0,0,510,,1,0,0
2089030,Vallstjärnen,"Göransåsen, Borgsjö",Ånge,,62.454502,15.640675,0,0,300,,1,0,0
2089033,Stormyran,"Göransåsen, Borgsjö",Ånge,,62.458607,15.650206,0,0,250,,1,0,0
2089034,"Bottentjärnen, Borgsjö",,Ånge,,62.403815,15.748159,0,0,260,,1,0,1
2089037,"Kullberget, Torp",,Ånge,,62.404485,15.968210,0,0,400,,1,0,1
2089067,Gullgårde,,Gotland,,57.197264,18.491488,0,0,130,,1,0,1
2089092,Kryckgrundet,"Rammskärsfjärdens skärgård, Rådmansö",Norrtälje,,59.739059,19.291213,0,0,114,,1,0,0
2089098,Bibosvik,,Gotland,,57.452883,18.124948,0,0,130,,1,0,1
2089099,Bodviken,Asunden,Gotland,,57.715735,18.851020,0,0,163,,1,0,0
2089100,Bopparve,,Gotland,,57.285312,18.168004,0,0,130,,1,0,1
2089101,Burgsviken,,Gotland,,57.067575,18.270421,0,0,130,,1,0,1
2089102,"Dals, Lye",,Gotland,,57.291473,18.508439,0,0,130,,1,0,1
2089103,"Medebys, Lye",,Gotland,,57.286613,18.540787,0,0,130,,1,0,1
2089104,Lilla Mörby,,Gotland,,57.693038,18.498683,0,0,130,,1,0,1
2089105,Rikvide,,Gotland,,57.249305,18.661314,0,0,130,,1,0,1
2089106,Räveln,Vivesholm,Gotland,,57.391140,18.177284,0,0,40,,1,0,0
2089107,Själsöbäcken,Själsö,Gotland,,57.693667,18.355366,0,0,75,,1,0,0
2089108,Smaulmyrar,,Gotland,,57.358826,18.623998,0,0,130,,1,0,1
2089109,Stangsmyr,,Gotland,,57.341393,18.368805,0,0,264,,1,0,1
2089113,Stora Allmungs,,Gotland,,57.169538,18.324500,0,0,130,,1,0,1
2089116,Stuckvikshamn,Faludden,Gotland,,56.996356,18.374509,0,0,136,,1,0,0
2089117,Storgras,Tingstäde träsk,Gotland,,57.716431,18.617908,0,0,243,,1,0,0
2089118,Kohagvät,,Gotland,,57.713927,18.600525,0,0,130,,1,0,1
2089119,Tiselhagens naturreservat,,Gotland,,57.714613,18.663776,0,0,150,,1,0,1
2089120,Myrvälder,,Gotland,,57.724203,18.572606,0,0,265,,1,0,1
2089121,Lillgras,Tingstäde träsk,Gotland,,57.728395,18.614072,0,0,189,,1,0,0
2089122,Stora Mörby,,Gotland,,57.701847,18.507990,0,0,130,,1,0,1
2089123,Tärnskär,,Gotland,,57.256336,18.100020,0,0,200,,1,0,1
2089124,Unghanse,,Gotland,,57.043408,18.305869,0,0,130,,1,0,1
2089125,Vavle,,Gotland,,57.293710,18.125083,0,0,130,,1,0,1
2089128,"Travbanan, Kläppaängarna",,Ljusdal,,61.816456,16.105769,0,0,260,,1,0,1
2089131,"Sunnansjö, Bodum s:n",,Strömsund,,64.051260,16.043022,0,0,270,,1,0,1
2089136,"Flybäcken, Rossön",,Strömsund,,64.007476,16.299239,0,0,270,,1,0,1
2089138,Vikmyr,,Gotland,,57.647279,18.754577,0,0,130,,1,0,1
2089139,Vännes,,Gotland,,56.935731,18.185045,0,0,130,,1,0,1
2089140,Västergarns hamn,,Gotland,,57.437628,18.141217,0,0,130,,1,0,1
2089142,Mulde,,Gotland,,57.358414,18.200802,0,0,689,,1,0,1
2089144,Kännungs,,Gotland,,57.756204,18.882992,0,0,130,,1,0,1
2089168,Lilla Homa,,Gotland,,57.547697,18.220268,0,0,215,,1,0,1
2089169,Hoburgen,,Gotland,,56.918461,18.139824,0,0,1359,,1,0,1
2089178,Runmaren,,Haninge,,58.988909,18.327949,0,0,225,,1,0,1
2089195,Krakstädar,,Gotland,,57.218593,18.571716,0,0,300,,1,0,1
2089206,Sigdes,,Gotland,,57.241548,18.517242,0,0,130,,1,0,1
2089209,"Fagerdal, Hammerdal",,Strömsund,,63.665187,15.386659,0,0,470,,1,0,1
2089212,"Brännskallen, Torp",,Ånge,,62.390166,16.124104,0,0,1010,,1,0,1
2089213,Djävulsviken,Väddö sn,Norrtälje,,59.979319,18.812600,0,0,358,,1,0,0
2089214,Senneby by,Väddö sn,Norrtälje,,59.964961,18.851371,0,0,75,,1,0,0
2089215,Bystaden,Väddö sn,Norrtälje,,59.960716,18.863166,0,0,524,,1,0,0
2089216,Vikarsjön,Väddö sn,Norrtälje,,59.949144,18.883036,0,0,575,,1,0,0
2089217,Västernäs,Väddö sn,Norrtälje,,59.943561,18.849646,0,0,193,,1,0,0
2089218,Östernäs,Väddö sn,Norrtälje,,59.948303,18.866642,0,0,313,,1,0,0
2089219,Nor,Väddö sn,Norrtälje,,59.953732,18.869580,0,0,312,,1,0,0
2089220,Brevik,Väddö sn,Norrtälje,,59.929921,18.862636,0,0,391,,1,0,0
2089221,Flottskär,Väddö sn,Norrtälje,,59.928458,18.872975,0,0,207,,1,0,0
2089222,Nor,Roslags-Bro,Norrtälje,,59.874777,18.837043,0,0,258,,1,0,0
2089223,Sundbro,Roslags-Bro,Norrtälje,,59.869556,18.825032,0,0,159,,1,0,0
2089224,Tyresö Skola,,Tyresö,,59.239977,18.292951,0,0,225,,1,0,1
2089225,"Granö,  Barnens Ö",Väddö sn,Norrtälje,,59.931320,18.886127,0,0,339,,1,0,0
2089229,"Harbroholmsån, Skebobruk",Ununge,Norrtälje,,59.958850,18.605439,0,0,96,,1,0,0
2089240,Broby,Söderby-Karl,Norrtälje,,59.934795,18.714656,0,0,273,,1,0,0
2089241,Östersjön,Söderby-Karl,Norrtälje,,59.929714,18.749717,0,0,583,,1,0,0
2089242,Ekeby,Söderby-Karl,Norrtälje,,59.930231,18.733404,0,0,326,,1,0,0
2089243,Aspsund,Söderby-Karl,Norrtälje,,59.861240,18.712590,0,0,132,,1,0,0
2089244,Malmen,Söderby-Karl,Norrtälje,,59.863468,18.735623,0,0,234,,1,0,0
2089245,Fönemoarna  Färila,,Ljusdal,,61.894131,15.723284,0,0,877,,1,0,1
2089254,Stora Granlund,Rimbo,Norrtälje,,59.770231,18.429037,0,0,273,,1,0,0
2089255,Kallvik,Erken,Norrtälje,,59.836094,18.632469,0,0,190,,1,0,0
2089256,Sjötorp,Erken,Norrtälje,,59.830686,18.628373,0,0,450,,1,0,0
2089257,Vitsjö,Estuna,Norrtälje,,59.819415,18.641237,0,0,311,,1,0,0
2089260,Jordbro industriområde,,Haninge,,59.146911,18.118471,0,0,1807,,1,0,1
2089261,Mörby dammar,Mörby,Haninge,,59.153084,18.280105,0,0,4,,1,0,0
2089274,Göringe,Estuna,Norrtälje,,59.805462,18.609499,0,0,359,,1,0,0
2089276,Stavgard,,Gotland,,57.217445,18.549932,0,0,130,,1,0,1
2089288,Själsö,,Gotland,,57.692625,18.357450,0,0,490,,1,0,1
2089289,Yttre Furulund,,Gotland,,57.618910,18.313657,0,0,200,,1,0,1
2089290,Sjaustru,,Gotland,,57.374386,18.804110,0,0,621,,1,0,1
2089291,Älnemyr,Barlingbo,Gotland,,57.561172,18.470279,0,0,250,,1,0,0
2089301,Båta,,Gotland,,57.938222,19.180091,0,0,130,,1,0,1
2089302,Kyllajhajdar,,Gotland,,57.757229,18.933845,0,0,400,,1,0,1
2089303,Langhammarshammaren,,Gotland,,57.993094,19.175043,0,0,130,,1,0,1
