id,lokalitet,hovedlokalitet,kommune,fylke,lat,lon,count,observers,radius,geometry,public,mine,super
113005,Lillkyrka Prästgård,,Enköping,,59.561604,17.235616,0,0,100,,1,0,1
115227,Travarhagen  Travenberg,,Uppsala,,60.034061,17.662927,0,0,100,,1,0,1
116530,Foleskogen,,Gotland,,57.669193,18.574546,0,0,100,,1,0,1
116672,sveg,,Härjedalen,,62.016212,14.478489,0,0,100,,1,0,1
118887,Valkrörs naturreservat,,Östhammar,,60.055340,18.426441,0,0,100,,1,0,1
1191231,Fjäle,,Gotland,,57.504052,18.689899,0,0,10,,1,0,1
1622764,Flottsund ca 200 m NV bron mittemot bussvändplats,,Uppsala,,59.788457,17.659666,0,0,100,,1,0,1
1636816,"Hammarbystugan, Nackareservatet",,Nacka,,59.284440,18.148241,0,0,100,,1,0,1
1639661,Bäcklösa-parkeringen,,Uppsala,,59.813941,17.641933,0,0,100,,1,0,1
1785282,Rodarve,,Gotland,,57.410005,18.903051,0,0,100,,1,0,1
1789240,Åsen,Åsa gravfält,Strängnäs,,59.388680,17.189991,0,0,50,,1,0,0
2074501,Reveln,Torö,Nynäshamn,,58.809747,17.797216,0,0,416,,1,0,0
2074502,Örudden,Torö,Nynäshamn,,58.800013,17.790739,0,0,276,,1,0,0
2074503,Stenstrand,Torö,Nynäshamn,,58.797123,17.799363,0,0,295,,1,0,0
2074504,Kvarnen,Torö,Nynäshamn,,58.802693,17.830921,0,0,144,,1,0,0
2074505,Krokskär,,Nynäshamn,,58.785808,17.846551,0,0,1106,,1,0,1
2074506,Landsort,,Nynäshamn,,58.755022,17.864015,0,0,4464,,1,0,1
2074507,Gunnarstenarna,,Nynäshamn,,58.774982,18.038683,0,0,1090,,1,0,1
2074508,Södra udden,Landsort,Nynäshamn,,58.737311,17.865407,0,0,76,,1,0,0
2074509,Saltmar,Landsort,Nynäshamn,,58.758800,17.860978,0,0,146,,1,0,0
2074510,Fårhagen,Landsort,Nynäshamn,,58.768015,17.862559,0,0,84,,1,0,0
2074511,Läskär,Torö,Nynäshamn,,58.793581,17.854573,0,0,344,,1,0,0
2074512,Sågsten,Torö,Nynäshamn,,58.836315,17.870384,0,0,290,,1,0,0
2074513,Herrhamra ängar,Torö,Nynäshamn,,58.805364,17.830480,0,0,144,,1,0,0
2074514,Landsorts by,Landsort,Nynäshamn,,58.744960,17.866000,0,0,46,,1,0,0
2074515,Bredmar,Landsort,Nynäshamn,,58.748619,17.867455,0,0,81,,1,0,0
2074516,Norrudden,Landsort,Nynäshamn,,58.773878,17.860933,0,0,107,,1,0,0
2074517,Trevik,Torö,Nynäshamn,,58.815482,17.862029,0,0,397,,1,0,0
2074518,Torö kyrka,Torö,Nynäshamn,,58.839801,17.841557,0,0,1320,,1,0,0
2074519,Svärdsund,Svärdsö,Nynäshamn,,58.882148,17.834271,0,0,414,,1,0,0
2074520,Tottnäs,,Nynäshamn,,58.900184,17.838053,0,0,225,,1,0,1
2074521,Norsbol,,Nynäshamn,,58.920079,17.866629,0,0,1345,,1,0,1
2074522,Järflotta,,Nynäshamn,,58.838314,17.912506,0,0,3095,,1,0,1
2074523,Långsudd,Järflotta,Nynäshamn,,58.817236,17.927238,0,0,685,,1,0,0
2074524,Södra Örvad,Järflotta,Nynäshamn,,58.829202,17.901133,0,0,300,,1,0,0
2074525,Lökvik,Järflotta,Nynäshamn,,58.836454,17.929313,0,0,441,,1,0,0
2074526,Valsvik,Järflotta,Nynäshamn,,58.847028,17.926564,0,0,352,,1,0,0
2074527,Nynäshamn,,Nynäshamn,,58.900100,17.937973,0,0,6807,,1,0,1
2074528,Käringboda,Järflottaland,Nynäshamn,,58.893488,17.900280,0,0,892,,1,0,0
2074529,Lövhagen,,Nynäshamn,,58.877658,17.929816,0,0,225,,1,0,1
2074530,Oljehamnen,Nynäshamn,Nynäshamn,,58.917547,17.969225,0,0,211,,1,0,0
2074531,Oljehamnsdammarna,Nynäshamn,Nynäshamn,,58.927995,17.970680,0,0,181,,1,0,0
2074532,Bedarön,,Nynäshamn,,58.895316,17.961697,0,0,3914,,1,0,1
2074533,Småbåtshamnen,Nynäshamn,Nynäshamn,,58.899223,17.951304,0,0,148,,1,0,0
2074534,Alhagen,,Nynäshamn,,58.933599,17.954457,0,0,1872,,1,0,1
2074535,Nynäs gods N:hamn,,Nynäshamn,,58.915284,17.919971,0,0,3115,,1,0,1
2074536,Djursnäs,,Nynäshamn,,58.922287,17.813502,0,0,2192,,1,0,1
2074537,Stora Vika,,Nynäshamn,,58.941229,17.784163,0,0,4523,,1,0,1
2074538,Fållnäs,,Nynäshamn,,58.958011,17.767598,0,0,2636,,1,0,1
2074539,Koholmen,Lisö,Nynäshamn,,58.964273,17.743577,0,0,206,,1,0,0
2074540,Skärlinge,Lisö,Nynäshamn,,58.908563,17.791592,0,0,292,,1,0,0
2074541,Bredviken,,Nynäshamn,,58.975804,17.970734,0,0,3806,,1,0,1
2074542,Himmelsö,,Nynäshamn,,58.956621,17.972001,0,0,1570,,1,0,1
2074543,Herrö,,Nynäshamn,,58.970794,18.001762,0,0,2176,,1,0,1
2074544,Yxlö,,Nynäshamn,,58.953476,18.018246,0,0,3251,,1,0,1
2074545,Östra Styran,Styran,Nynäshamn,,58.979697,17.865802,0,0,259,,1,0,0
2074546,Styrantornet,Styran,Nynäshamn,,58.974350,17.867760,0,0,300,,1,0,0
2074547,Vägbanken,Styran,Nynäshamn,,58.983711,17.860700,0,0,259,,1,0,0
2074548,Styrvik,Styran,Nynäshamn,,58.990565,17.862254,0,0,486,,1,0,0
2074549,Västra Styran,Styran,Nynäshamn,,58.973109,17.847126,0,0,632,,1,0,0
2074550,Reningsverket,Ösmo,Nynäshamn,,58.992051,17.904663,0,0,101,,1,0,0
2074551,Ösmo kyrka,Ösmo,Nynäshamn,,58.980910,17.912748,0,0,233,,1,0,0
2074552,Ösmokorset,Ösmo,Nynäshamn,,58.976971,17.912515,0,0,192,,1,0,0
2074553,Jursta,Ösmo,Nynäshamn,,59.004030,17.953819,0,0,2752,,1,0,0
2074554,Ogesta,,Nynäshamn,,58.995225,17.950971,0,0,2188,,1,0,1
2074555,Nedre Söderby,Grödby,Nynäshamn,,59.033232,17.888458,0,0,2288,,1,0,0
2074556,Lövsjön,,Nynäshamn,,59.062626,17.895590,0,0,2869,,1,0,1
2074557,Fagersjön,Grödby,Nynäshamn,,59.055079,17.850845,0,0,332,,1,0,0
2074558,Sorunda,,Nynäshamn,,59.008624,17.814904,0,0,4622,,1,0,1
2074559,Väggarö,,Nynäshamn,,59.003942,17.850091,0,0,1403,,1,0,1
2074560,Berga ängar,Sorunda,Nynäshamn,,58.995628,17.828262,0,0,1795,,1,0,0
2074561,Västerby,Grindsjön,Nynäshamn,,59.084938,17.902310,0,0,933,,1,0,0
2074562,Fituna,,Nynäshamn,,59.059933,17.765577,0,0,2386,,1,0,1
2074563,Vårdberget,Fituna,Nynäshamn,,59.041888,17.749291,0,0,233,,1,0,0
2074564,Stutby,,Nynäshamn,,59.081814,17.813826,0,0,225,,1,0,1
2074565,Stegsholm,Lännåkersviken,Haninge,,59.105484,18.267089,0,0,1072,,1,0,0
2074566,Mällsten,,Haninge,,58.852651,18.032592,0,0,760,,1,0,1
2074567,Nåttarö,,Haninge,,58.876075,18.115363,0,0,5280,,1,0,1
2074568,Ålö,,Haninge,,58.926738,18.207153,0,0,2539,,1,0,1
2074569,Rånö,,Haninge,,58.922917,18.174796,0,0,3141,,1,0,1
2074570,Utö,,Haninge,,58.935412,18.254737,0,0,5154,,1,0,1
2074571,Hamnudden,Utö,Haninge,,58.928055,18.303758,0,0,268,,1,0,0
2074572,Fladen,Utö,Haninge,,58.939885,18.300371,0,0,316,,1,0,0
2074573,Spränga kyrka,Utö,Haninge,,58.957733,18.290885,0,0,79,,1,0,0
2074574,Edesnäs gård,Utö,Haninge,,58.953138,18.279063,0,0,119,,1,0,0
2074575,Stora Sand,Utö,Haninge,,58.919068,18.249428,0,0,782,,1,0,0
2074576,Gruvbyn,Utö,Haninge,,58.968381,18.330824,0,0,322,,1,0,0
2074577,Ålandsskär,Huvudskär,Haninge,,58.962791,18.569632,0,0,83,,1,0,0
2074578,Lökskär,Huvudskär,Haninge,,58.968673,18.570575,0,0,281,,1,0,0
2074579,Huvudskär,,Haninge,,58.962115,18.566470,0,0,2553,,1,0,1
2074580,Bredskär,Huvudskär,Haninge,,58.966107,18.559589,0,0,118,,1,0,0
2074581,Manskär,Huvudskär,Haninge,,58.966557,18.577555,0,0,169,,1,0,0
2074582,Skaten,Huvudskär,Haninge,,58.953707,18.559311,0,0,326,,1,0,0
2074583,Staplarna,Huvudskär,Haninge,,58.956658,18.578049,0,0,217,,1,0,0
2074584,Muskö,,Haninge,,58.992190,18.112920,0,0,5133,,1,0,1
2074585,Muskö kyrka,Muskö,Haninge,,59.000227,18.129107,0,0,521,,1,0,0
2074586,Arbottna,Muskö,Haninge,,58.984854,18.122352,0,0,1176,,1,0,0
2074587,Landfjärden,,Nynäshamn,,59.034457,17.998780,0,0,1895,,1,0,1
2074588,Häringe gods,Häringe,Haninge,,59.040973,18.013279,0,0,622,,1,0,0
2074589,Bobäcken,Häringe,Haninge,,59.044928,18.026655,0,0,300,,1,0,0
2074590,Hemfosa,,Haninge,,59.067539,17.969378,0,0,3701,,1,0,1
2074591,Vädersjön,,Haninge,,59.103044,17.978074,0,0,4064,,1,0,1
2074592,Östnora,,Haninge,,59.059836,18.046480,0,0,4427,,1,0,1
2074593,Söderby brygga,Hästholmsviken,Haninge,,59.052482,18.073214,0,0,283,,1,0,0
2074594,Berga örlogsbas,,Haninge,,59.079067,18.140893,0,0,2032,,1,0,1
2074595,Berga lantbruksskola,,Haninge,,59.094168,18.107970,0,0,1379,,1,0,1
2074596,Årsta havsbad,,Haninge,,59.081597,18.164456,0,0,1499,,1,0,1
2074597,Årsta säteri,,Haninge,,59.100207,18.182386,0,0,2462,,1,0,1
2074598,Nedersta,,Haninge,,59.111124,18.078901,0,0,225,,1,0,1
2074599,Västerhaninge kyrka,,Haninge,,59.121624,18.107754,0,0,1332,,1,0,1
2074600,Österhaninge kyrka,,Haninge,,59.126801,18.169945,0,0,2418,,1,0,1
2074601,Österhaninge slamdammar,,Haninge,,59.125123,18.193094,0,0,225,,1,0,1
2074602,Ornö,,Haninge,,59.056612,18.400381,0,0,5175,,1,0,1
2074603,Ornö kyrka,Ornö,Haninge,,59.048260,18.428013,0,0,623,,1,0,0
2074604,Brevik,Ornö,Haninge,,59.073177,18.386807,0,0,138,,1,0,0
2074605,Sundby naturreservat,Ornö,Haninge,,59.019381,18.377285,0,0,330,,1,0,0
2074606,Ornöhuvud,Ornö,Haninge,,59.120582,18.478552,0,0,1677,,1,0,0
2074607,Ornöströmmen,Ornö,Haninge,,59.104003,18.427061,0,0,148,,1,0,0
2074608,Fjärdlång,,Haninge,,59.036532,18.518293,0,0,5111,,1,0,1
2074609,Fiversättraön,,Haninge,,59.076274,18.518356,0,0,225,,1,0,1
2074610,Kymmendö,,Haninge,,59.110663,18.501567,0,0,3316,,1,0,1
2074611,Gålö,,Haninge,,59.095829,18.257593,0,0,5348,,1,0,1
2074612,Gålö havsbad,Gålö,Haninge,,59.096548,18.322649,0,0,92,,1,0,0
2074613,Karlslund,,Haninge,,59.122721,18.312328,0,0,225,,1,0,1
2074614,Havtornsudd,Gålö,Haninge,,59.095312,18.345494,0,0,456,,1,0,0
2074615,Lännåkersviken,,Haninge,,59.115750,18.244469,0,0,2752,,1,0,1
2074616,Lövliden,Sandemar,Haninge,,59.124616,18.326234,0,0,310,,1,0,0
2074617,Svärdsnäsviken,Sandemar,Haninge,,59.124358,18.342305,0,0,300,,1,0,0
2074618,Killingen,Sandemar,Haninge,,59.121716,18.358735,0,0,158,,1,0,0
2074619,Vadarängen V kanalen,Sandemar,Haninge,,59.124772,18.358214,0,0,174,,1,0,0
2074620,Vadarängen Ö kanalen,Sandemar,Haninge,,59.126630,18.363891,0,0,183,,1,0,0
2074622,P-platsen,Sandemar,Haninge,,59.132488,18.351306,0,0,266,,1,0,0
2074623,Sandemar slott,Sandemar,Haninge,,59.131424,18.370377,0,0,158,,1,0,0
2074624,Sandemar,,Haninge,,59.124989,18.352285,0,0,2601,,1,0,1
2074625,Stenfatet,Sandemar,Haninge,,59.134521,18.387651,0,0,378,,1,0,0
2074626,Hotellbryggan,Dalarö,Haninge,,59.129451,18.405249,0,0,196,,1,0,0
2074627,Dalarö kanal,Dalarö,Haninge,,59.137507,18.405860,0,0,189,,1,0,0
2074628,Dalarö,,Haninge,,59.134655,18.410621,0,0,3756,,1,0,1
2074629,Smådalarö,,Haninge,,59.166043,18.454010,0,0,4546,,1,0,1
2074630,Gränöfjärden,,Haninge,,59.181423,18.423386,0,0,2817,,1,0,1
2074763,Kustamaden,Angarnssjöängen,Vallentuna,,59.551950,18.158572,0,0,150,,1,0,0
2074764,Midsommarberget,Angarnssjöängen,Vallentuna,,59.547060,18.165741,0,0,125,,1,0,0
2074765,Byksberget,Angarnssjöängen,Vallentuna,,59.545371,18.159875,0,0,100,,1,0,0
2074766,Olhamra,Angarnssjöängen,Vallentuna,,59.538632,18.135090,0,0,361,,1,0,0
2074767,Skesta hage,Angarnssjöängen,Vallentuna,,59.556374,18.172146,0,0,250,,1,0,0
2074768,Lingsbergsmaden,Angarnssjöängen,Vallentuna,,59.545649,18.144424,0,0,150,,1,0,0
2074769,Hackstakullen,Angarnssjöängen,Vallentuna,,59.553707,18.183015,0,0,100,,1,0,0
2074770,Grävlingholmen,Angarnssjöängen,Vallentuna,,59.542953,18.150119,0,0,146,,1,0,0
2074771,Storsjön,Lindholmen,Vallentuna,,59.577679,18.114159,0,0,500,,1,0,0
2074772,Kyrkviken,Vallentunasjön,Vallentuna,,59.526981,18.062120,0,0,500,,1,0,0
2074773,Mörtsjön,Torsholma,Vallentuna,,59.646078,18.167034,0,0,755,,1,0,0
2074774,Hederviken Vallentuna,,Vallentuna,,59.673472,18.152113,0,0,3000,,1,0,1
2074775,Hammarskogs herrgård,Dalbyviken med omnejd,Uppsala,,59.768874,17.563178,0,0,200,,1,0,0
2074776,"Dalkarlskärret, Uppsala-Näs",,Uppsala,,59.777227,17.582941,0,0,350,,1,0,1
2074792,Stora Benhamra,Vadadalen,Vallentuna,,59.593737,18.207009,0,0,530,,1,0,0
2074793,Sjökullarna,Vadadalen,Vallentuna,,59.579867,18.208599,0,0,156,,1,0,0
2074794,Himmerfjärden,,Botkyrka,,59.056289,17.706207,0,0,1303,,1,0,1
2074795,Himmerfjärdens reningsverk,Näslandet,Botkyrka,,59.063101,17.711552,0,0,339,,1,0,0
2074796,Skanssundet,,Botkyrka,,59.052344,17.693775,0,0,1644,,1,0,1
2074797,Eldtomta,Grödinge,Botkyrka,,59.105272,17.731244,0,0,215,,1,0,0
2074798,Viad,Grödinge,Botkyrka,,59.106471,17.718173,0,0,352,,1,0,0
2074799,Snäckviken,Grödinge,Botkyrka,,59.115325,17.771066,0,0,163,,1,0,0
2074800,Lilla Ström,Grödinge,Botkyrka,,59.099335,17.787361,0,0,309,,1,0,0
2074801,Stora Uringe,Grödinge,Botkyrka,,59.120047,17.844970,0,0,208,,1,0,0
2074802,Axaren,Norrga,Botkyrka,,59.143447,17.835466,0,0,578,,1,0,0
2074803,Norrga kvarn,Norrga,Botkyrka,,59.147270,17.854834,0,0,577,,1,0,0
2074804,Getaren,Grödinge,Botkyrka,,59.158316,17.877337,0,0,1543,,1,0,0
2074805,f.d. Kyrksjön,Grödinge,Botkyrka,,59.135364,17.785232,0,0,191,,1,0,0
2074806,Rosenhill,Grödinge,Botkyrka,,59.139166,17.832142,0,0,425,,1,0,0
2074807,Somran,Grödinge,Botkyrka,,59.162953,17.769197,0,0,780,,1,0,0
2074808,Pålamalm,,Botkyrka,,59.137074,17.913934,0,0,1764,,1,0,1
2074809,Bysjöpölen,Riksten,Botkyrka,,59.170352,17.924031,0,0,241,,1,0,0
2074810,Tullinge flygfält,,Botkyrka,,59.179232,17.910404,0,0,1884,,1,0,1
2074811,Hacksjön,,Botkyrka,,59.178633,17.946776,0,0,225,,1,0,1
2074812,Flottsbrobacken,,Huddinge,,59.228866,17.881999,0,0,225,,1,0,1
2074813,Tullingesjön,,Botkyrka,,59.222560,17.870473,0,0,2004,,1,0,1
2074814,Södra Aspen,,Botkyrka,,59.221761,17.808256,0,0,753,,1,0,1
2074815,Hågelby gård,,Botkyrka,,59.219292,17.828082,0,0,1010,,1,0,1
2074816,Botkyrkabacken,,Botkyrka,,59.232396,17.819638,0,0,225,,1,0,1
2074817,Golväng,,Botkyrka,,59.250079,17.782654,0,0,225,,1,0,1
2074818,Sturehovs slott,,Botkyrka,,59.258883,17.759738,0,0,1267,,1,0,1
2074819,Malmsjön,Grödinge,Botkyrka,,59.161622,17.791727,0,0,482,,1,0,0
2074820,f.d. Kvarnsjön,,Botkyrka,,59.156386,17.942330,0,0,225,,1,0,1
2074829,Lissmasjön,Lissma,Huddinge,,59.175227,18.066971,0,0,290,,1,0,0
2074830,Lissma såg,Lissma,Huddinge,,59.178187,18.088054,0,0,223,,1,0,0
2074831,Lissmadalen,Lissma,Huddinge,,59.182071,18.089510,0,0,206,,1,0,0
2074832,Sundby gård,,Huddinge,,59.201565,18.017788,0,0,225,,1,0,1
2074833,Orlången,,Huddinge,,59.196174,18.043363,0,0,4067,,1,0,1
2074834,Flemingsbergsviken,Orlången,Huddinge,,59.212474,18.001151,0,0,1125,,1,0,0
2074835,Balingsta,,Huddinge,,59.206873,18.034236,0,0,1368,,1,0,1
2074836,Ågestasjön,Ågesta,Huddinge,,59.223654,18.073699,0,0,135,,1,0,0
2074837,Pumphusängen,Ågesta,Huddinge,,59.216593,18.072927,0,0,168,,1,0,0
2074838,Godaobsudden,Ågesta,Huddinge,,59.219871,18.074373,0,0,59,,1,0,0
2074839,Ågesta ridstall,Ågesta,Huddinge,,59.222096,18.081586,0,0,63,,1,0,0
2074840,Västeräng,Ågesta,Huddinge,,59.225686,18.065857,0,0,351,,1,0,0
2074938,Trehörningen,Sjödalen,Huddinge,,59.228614,18.018920,0,0,371,,1,0,0
2074939,Gömmaren,,Huddinge,,59.251985,17.919638,0,0,1674,,1,0,1
2074940,Ådran,,Huddinge,,59.160043,18.016324,0,0,733,,1,0,1
2074956,Långsjön,Tyresta,Tyresö,,59.192678,18.295817,0,0,200,,1,0,0
2074957,Trehörningen,Tyresta,Tyresö,,59.195088,18.301261,0,0,200,,1,0,0
2074958,Stensjön,Tyresta,Tyresö,,59.183277,18.311618,0,0,210,,1,0,0
2074959,Vissvass,Åva,Tyresö,,59.185988,18.377438,0,0,976,,1,0,0
2074960,Övre kärret,Tyresta (Tyresö),Tyresö,,59.208855,18.280581,0,0,486,,1,0,0
2074961,Gammelström,,Tyresö,,59.218538,18.247146,0,0,225,,1,0,1
2074962,Nyfors,,Tyresö,,59.223061,18.268194,0,0,309,,1,0,1
2074963,Fatburen,Tyresö k:n,Tyresö,,59.233425,18.292349,0,0,244,,1,0,0
2074966,Tullan,,Södertälje,,59.216842,17.686669,0,0,1000,,1,0,1
2074967,Bornsjön,,Salem,,59.232989,17.744664,0,0,4948,,1,0,1
2074968,Lundby,Bornsjön,Salem,,59.243901,17.687540,0,0,972,,1,0,0
2074969,Vällinge kyrka,,Salem,,59.263121,17.707654,0,0,5193,,1,0,1
2074970,Acksjön,,Salem,,59.258667,17.667454,0,0,225,,1,0,1
2074971,Bockholmssättra,,Salem,,59.274551,17.634504,0,0,5438,,1,0,1
2074972,Erstavik,,Nacka,,59.267725,18.259453,0,0,3604,,1,0,1
2074973,Strandängen,Erstavik,Nacka,,59.269433,18.252751,0,0,149,,1,0,0
2074974,Lindskär,Erstavik,Nacka,,59.263938,18.260351,0,0,235,,1,0,0
2074975,Ältasjön,,Nacka,,59.264108,18.166298,0,0,3829,,1,0,1
2074976,Nackareservatet,,Nacka,,59.281004,18.206228,0,0,4352,,1,0,1
2074977,Nyckelviken,,Nacka,,59.324075,18.192016,0,0,1634,,1,0,1
2074978,Tollareträsk,,Nacka,,59.307187,18.246571,0,0,1942,,1,0,1
2074979,Baggensfjärden,,Nacka,,59.305962,18.318176,0,0,2199,,1,0,1
2074980,Velamsund,,Nacka,,59.345814,18.324814,0,0,2532,,1,0,1
2074981,Flaten,Flatens naturreservat,Stockholm,,59.251755,18.153146,0,0,121,,1,0,0
2074982,Drevviken,,Huddinge,,59.234432,18.171005,0,0,1651,,1,0,1
2074983,Högdalstopparna,,Stockholm,,59.255149,18.057709,0,0,756,,1,0,1
2074984,Magelungen,,Stockholm,,59.228099,18.103020,0,0,1808,,1,0,1
2074985,Stortorpsån,,Stockholm,,59.238829,18.119100,0,0,2461,,1,0,1
2074986,Skogskyrkogården,,Stockholm,,59.271861,18.102266,0,0,3114,,1,0,1
2074987,Hammarbybacken,,Stockholm,,59.299400,18.111518,0,0,225,,1,0,1
2074988,Sickla sluss,Hammarby Sjöstad,Stockholm,,59.302729,18.108707,0,0,60,,1,0,0
2074989,Årstafältet,,Stockholm,,59.291501,18.040839,0,0,3767,,1,0,1
2074990,Älvsjömässan,,Stockholm,,59.277805,18.013494,0,0,1589,,1,0,1
2074991,Hägerstenshamnen,,Stockholm,,59.306751,17.957511,0,0,143,,1,0,1
2074992,Eolshäll,,Stockholm,,59.309759,17.966324,0,0,225,,1,0,1
2074993,Långholmen,,Stockholm,,59.321045,18.025487,0,0,1148,,1,0,1
2074994,Södermalm,,Stockholm,,59.312166,18.065587,0,0,2835,,1,0,1
2074995,Tantolunden,Södermalm,Stockholm,,59.313587,18.048537,0,0,215,,1,0,0
2074996,Fåfängan,Södermalm,Stockholm,,59.314953,18.101331,0,0,123,,1,0,0
2074997,Årsta holmar,,Stockholm,,59.307517,18.043121,0,0,225,,1,0,1
2074998,Fjäderholmarna,,Lidingö,,59.330028,18.174347,0,0,323,,1,0,1
2074999,Södra Djurgården,,Stockholm,,59.327136,18.126942,0,0,2447,,1,0,1
2075000,Skansen,Södra Djurgården,Stockholm,,59.328254,18.099310,0,0,95,,1,0,0
2075001,Isbladskärret,Södra Djurgården,Stockholm,,59.325926,18.143489,0,0,125,,1,0,0
2075002,Isbladsviken,Södra Djurgården,Stockholm,,59.324629,18.150568,0,0,100,,1,0,0
2075003,Blockhusudden,Södra Djurgården,Stockholm,,59.322173,18.152473,0,0,198,,1,0,0
2075004,Stockholms ström,,Stockholm,,59.328502,18.071400,0,0,1367,,1,0,1
2075005,Stadsgårdskajen,Södermalm,Stockholm,,59.318414,18.086330,0,0,254,,1,0,0
2075006,Riddarfjärden,Kungsholmen,Stockholm,,59.324968,18.053505,0,0,187,,1,0,0
2075007,Kastellholmen,Stockholms ström,Stockholm,,59.322571,18.089546,0,0,200,,1,0,0
2075008,Skeppsholmen,Stockholms ström,Stockholm,,59.325692,18.084039,0,0,300,,1,0,0
2075009,Matflotten,Stockholms ström,Stockholm,,59.329290,18.072594,0,0,100,,1,0,0
2075010,Karlbergs slott,,Solna,,59.342567,18.017698,0,0,572,,1,0,1
2075011,Kampementsbadet,Gärdet,Stockholm,,59.343849,18.107745,0,0,334,,1,0,0
2075012,Kaknästornet,Södra Djurgården,Stockholm,,59.334935,18.126844,0,0,200,,1,0,0
2075013,Husarviken,Norra Djurgården,Stockholm,,59.359584,18.089707,0,0,159,,1,0,0
2075014,Uggleviken,Norra Djurgården,Stockholm,,59.355184,18.076242,0,0,185,,1,0,0
2075015,Stockholms universitet,Norra Djurgården,Stockholm,,59.362642,18.058464,0,0,169,,1,0,0
2075016,Laduviken,Norra Djurgården,Stockholm,,59.361067,18.076861,0,0,105,,1,0,0
2075017,Stora skuggan,Norra Djurgården,Stockholm,,59.363635,18.074777,0,0,156,,1,0,0
2075018,Lappkärret,Norra Djurgården,Stockholm,,59.368684,18.068345,0,0,117,,1,0,0
2075019,Lill-Jansskogen,Norra Djurgården,Stockholm,,59.351314,18.076825,0,0,72,,1,0,0
2075020,Bergianska trädgården,Norra Djurgården,Stockholm,,59.370135,18.044163,0,0,197,,1,0,0
2075022,Brunnsviken,,Solna,,59.364478,18.043175,0,0,225,,1,0,1
2075023,Stallmästargården,,Solna,,59.352514,18.043615,0,0,225,,1,0,1
2075024,Lillsjön,Bromma,Stockholm,,59.341371,17.957853,0,0,250,,1,0,0
2075025,Judarn,Bromma,Stockholm,,59.337711,17.912029,0,0,395,,1,0,0
2075026,Kyrksjön,Bromma,Stockholm,,59.349295,17.915838,0,0,209,,1,0,0
2075027,Råcksta träsk,Vällingby,Stockholm,,59.353458,17.872333,0,0,466,,1,0,0
2075028,Beckomberga,Bromma,Stockholm,,59.357698,17.902184,0,0,581,,1,0,0
2075029,Lövsta,Hässelby,Stockholm,,59.388735,17.789329,0,0,285,,1,0,0
2075030,Hästa gård,Södra Järvafältet,Stockholm,,59.408847,17.897495,0,0,395,,1,0,0
2075031,Ärvingeträsk,Södra Järvafältet,Stockholm,,59.396666,17.933185,0,0,383,,1,0,0
2075032,Hansta,Norra Järvafältet,Stockholm,,59.432487,17.909281,0,0,552,,1,0,0
2075033,Råstasjön,Södra Järvafältet,Solna,,59.372455,17.987129,0,0,366,,1,0,0
2075034,Hagaparken,,Solna,,59.360518,18.035826,0,0,1500,,1,0,1
2075035,Haga slott,Hagaparken,Solna,,59.364047,18.038234,0,0,200,,1,0,0
2075036,Hagakullen,Hagaparken,Solna,,59.365105,18.025325,0,0,275,,1,0,0
2075037,Ålkistan,Norra Djurgården,Stockholm,,59.375439,18.046903,0,0,250,,1,0,0
2075038,Koppartälten,Hagaparken,Solna,,59.364441,18.031667,0,0,150,,1,0,0
2075039,Polska udden,Hagaparken,Solna,,59.378455,18.017411,0,0,323,,1,0,0
2075040,Kvarnkullen,Ulriksdal,Solna,,59.380706,18.014482,0,0,304,,1,0,0
2075041,Ulriksdals slott,Ulriksdal,Solna,,59.390432,18.016647,0,0,443,,1,0,0
2075042,Ursvik,Södra Järvafältet,Sundbyberg,,59.384471,17.968138,0,0,422,,1,0,0
2075043,Lötsjön,Södra Järvafältet,Sundbyberg,,59.371659,17.967707,0,0,180,,1,0,0
2075044,Trolldalen,Lidingö,Lidingö,,59.387147,18.141693,0,0,595,,1,0,0
2075045,Duvholmens brygga,Elfvik,Lidingö,,59.368895,18.256111,0,0,100,,1,0,0
2075046,Elfviksudde,Elfvik,Lidingö,,59.365590,18.253057,0,0,161,,1,0,0
2075047,Gråviken,,Lidingö,,59.367650,18.192771,0,0,419,,1,0,1
2075048,Båtsmanshättan,Elfvik,Lidingö,,59.368876,18.267403,0,0,100,,1,0,0
2075049,Inre kyrkviken,Lidingö,Lidingö,,59.368030,18.163046,0,0,520,,1,0,0
2075050,Ekholmsnäsbacken,Lidingö,Lidingö,,59.361392,18.180985,0,0,100,,1,0,0
2075051,Ekholmsnässjön,Lidingö,Lidingö,,59.360948,18.197837,0,0,241,,1,0,0
2075052,Långängskärret,Lidingö,Lidingö,,59.356544,18.197532,0,0,240,,1,0,0
2075053,Långängssjön,Lidingö,Lidingö,,59.355481,18.186968,0,0,358,,1,0,0
2075054,Kottlasjön,Lidingö,Lidingö,,59.348365,18.180320,0,0,429,,1,0,0
2075055,Lidingö,,Lidingö,,59.366492,18.135333,0,0,5271,,1,0,1
2075056,Norsten,,Värmdö,,59.039476,18.650301,0,0,3827,,1,0,1
2075057,Boskapsön Villinge,Villinge,Värmdö,,59.095598,18.635991,0,0,342,,1,0,0
2075058,Biskopsön,,Värmdö,,59.103496,18.723837,0,0,4905,,1,0,1
2075059,Tärnskär,,Värmdö,,59.132240,18.843070,0,0,1343,,1,0,1
2075060,Långviksskär,,Värmdö,,59.151799,18.797292,0,0,3898,,1,0,1
