latin,norsk,svensk,status,count
Motacilla cinerea,vintererle,forsärla,,235508
Tachybaptus ruficollis,dvergdykker,smådopping,,233273
Tringa erythropus,sotsnipe,svartsnäppa,NT,229128
Corvus frugilegus,kornkråke,råka,,225266
Acrocephalus schoenobaenus,sivsanger,sävsångare,,223819
Melanitta fusca,sjøorre,svärta,,218004
Rallus aquaticus,vannrikse,vattenrall,,213805
Muscicapa striata,gråfluesnapper,grå flugsnappare,,212795
Gavia stellata,smålom,smålom,,211905
Scolopax rusticola,rugde,morkulla,,209696
Falco peregrinus,vandrefalk,pilgrimsfalk,VU,209093
Streptopelia decaocto,tyrkerdue,turkduva,NT,208857
Podiceps grisegena,gråstrupedykker,gråhakedopping,NT,201849
Phylloscopus sibilatrix,bøksanger,grönsångare,NT,189891
Hippolais icterina,gulsanger,härmsångare,,188322
Hydrocoloeus minutus,dvergmåke,dvärgmås,,184448
Pluvialis squatarola,tundralo,kustpipare,,177998
Cinclus cinclus,fossekall,strömstare,,177551
Limosa lapponica,lappspove,myrspov,VU,174526
Clangula hyemalis,havelle,alfågel,NT,174157
Sterna paradisaea,rødnebbterne,silvertärna,,171802
Acrocephalus palustris,myrsanger,kärrsångare,,170402
Hydroprogne caspia,rovterne,skräntärna,NT,168038
Recurvirostra avosetta,avosett,skärfläcka,,162294
Ardea alba,egretthegre,ägretthäger,NT,161798
Botaurus stellaris,rørdrum,rördrom,NT,157364
Jynx torquilla,vendehals,göktyta,NT,153982
Pernis apivorus,vepsevåk,bivråk,NT,153616
Nucifraga caryocatactes,nøttekråke,nötkråka,NT,153296
Lyrurus tetrix,orrfugl,orre,,153083
Riparia riparia,sandsvale,backsvala,EN,151613
Lullula arborea,trelerke,trädlärka,,151386
Carpodacus erythrinus,rosenfink,rosenfink,NT,146845
Spatula querquedula,knekkand,årta,EN,140924
Falco columbarius,dvergfalk,stenfalk,,139689
Aythya marila,bergand,bergand,VU,135542
Numenius phaeopus,småspove,småspov,,133065
Thalasseus sandvicensis,splitterne,kentsk tärna,NT,130197
Calidris canutus,polarsnipe,kustsnäppa,,127408
Plectrophenax nivalis,snøspurv,snösparv,,127299
Panurus biarmicus,skjeggmeis,skäggmes,,125169
Locustella naevia,gresshoppesanger,gräshoppsångare,VU,123209
Calidris temminckii,temmincksnipe,mosnäppa,NT,121938
Linaria flavirostris,bergirisk,vinterhämpling,NT,115947
Branta bernicla,ringgås,prutgås,,115644
Cepphus grylle,teist,tobisgrissla,,115365
Calidris ferruginea,tundrasnipe,spovsnäppa,,113239
Anthus petrosus,skjærpiplerke,skärpiplärka,,111685
Tetrao urogallus,storfugl,tjäder,,111525
Anser brachyrhynchus,kortnebbgås,spetsbergsgås,,111269
Alcedo atthis,isfugl,kungsfiskare,NT,110693
Alca torda,alke,tordmule,,110325
Aquila chrysaetos,kongeørn,kungsörn,NT,110033
Picus canus,gråspett,gråspett,,109449
Phoenicurus ochruros,svartrødstjert,svart rödstjärt,VU,107055
Luscinia svecica,blåstrupe,blåhake,NT,101475
Uria aalge,lomvi,sillgrissla,,91973
Asio otus,hornugle,hornuggla,EN,91277
Calidris minuta,dvergsnipe,småsnäppa,,90970
Limosa limosa,svarthalespove,rödspov,EN,90051
Crex crex,åkerrikse,kornknarr,EN,89812
Stercorarius parasiticus,tyvjo,kustlabb,VU,89650
Picoides tridactylus,tretåspett,tretåig hackspett,NT,88529
Chlidonias niger,svartterne,svarttärna,VU,87773
Caprimulgus europaeus,nattravn,nattskärra,,87477
Arenaria interpres,steinvender,roskarl,EN,87331
Sternula albifrons,dvergterne,småtärna,EN,86407
Coturnix coturnix,vaktel,vaktel,,79881
Glaucidium passerinum,spurveugle,sparvuggla,NT,79828
Loxia pytyopsittacus,furukorsnebb,större korsnäbb,,78508
Perdix perdix,rapphøne,rapphöna,,76238
Pinicola enucleator,konglebit,tallbit,,75150
Cygnus columbianus,dvergsvane,mindre sångsvan,,70431
Turdus torquatus,ringtrost,ringtrast,,70196
Morus bassanus,havsule,havssula,,68886
Asio flammeus,jordugle,jorduggla,NT,64677
Tetrastes bonasia,jerpe,järpe,,62374
Aegolius funereus,perleugle,pärluggla,EN,61239
Ficedula parva,dvergfluesnapper,mindre flugsnappare,,60278
Calidris maritima,fjæreplytt,skärsnäppa,,59574
Calcarius lapponicus,lappspurv,lappsparv,,57096
Calidris alba,sandløper,sandlöpare,,56543
Acrocephalus arundinaceus,trostesanger,trastsångare,VU,54879
Perisoreus infaustus,lavskrike,lavskrika,NT,53179
Lymnocryptes minimus,kvartbekkasin,dvärgbeckasin,,52616
Larus cachinnans,kaspimåke,kaspisk trut,,48877
Rissa tridactyla,krykkje,tretåig mås,EN,48117
Ciconia ciconia,stork,vit stork,EN,47868
Milvus migrans,svartglente,brun glada,EN,47501
Calidris falcinellus,fjellmyrløper,myrsnäppa,VU,47462
Surnia ulula,haukugle,hökuggla,VU,46062
Circus pygargus,enghauk,ängshök,EN,45192
Porzana porzana,myrrikse,småfläckig sumphöna,VU,43351
Anthus cervinus,lappiplerke,rödstrupig piplärka,EN,42048
Emberiza hortulana,hortulan,ortolansparv,CR,41956
Loxia leucoptera,båndkorsnebb,bändelkorsnäbb,,40633
Saxicola rubicola,svartstrupe,svarthakad buskskvätta,NT,40310
Regulus ignicapilla,rødtoppfuglekonge,brandkronad kungsfågel,,40205
Phalaropus lobatus,svømmesnipe,smalnäbbad simsnäppa,VU,39925
Ficedula albicollis,halsbåndfluesnapper,halsbandsflugsnappare,,39492
Locustella fluviatilis,elvesanger,flodsångare,NT,39280
Anser erythropus,dverggås,fjällgås,EN,38159
Acrocephalus dumetorum,busksanger,busksångare,NT,33107
Circus macrourus,steppehauk,stäpphök,,31046
Eremophila alpestris,fjellerke,berglärka,EN,30219
Oriolus oriolus,pirol,sommargylling,EN,27028
Lagopus lagopus,lirype,dalripa,,26822
Podiceps nigricollis,svarthalsdykker,svarthalsad dopping,EN,26265
Corvus corone,kråke,kråka,,26103
Remiz pendulinus,pungmeis,pungmes,CR,24727
Stercorarius longicaudus,fjelljo,fjällabb,,24416
Anser serrirostris,tundrasædgås,tundrasädgås,,24054
Locustella luscinioides,sumpsanger,vassångare,EN,23787
Gallinago media,dobbeltbekkasin,dubbelbeckasin,,23198
Falco vespertinus,aftenfalk,aftonfalk,,22623
Serinus serinus,gulirisk,gulhämpling,EN,22617
Phylloscopus inornatus,gulbrynsanger,tajgasångare,,21594
Emberiza rustica,vierspurv,videsparv,,21134
Aix galericulata,mandarinand,mandarinand,LO,21117
Phylloscopus trochiloides,østsanger,lundsångare,VU,21002
Emberiza calandra,kornspurv,kornsparv,EN,19618
Strix nebulosa,lappugle,lappuggla,VU,18929
Anser indicus,stripegås,stripgås,LO,18805
Strix uralensis,slagugle,slaguggla,,17632
Fulmarus glacialis,havhest,stormfågel,,17584
Stercorarius pomarinus,polarjo,bredstjärtad labb,,16542
Branta ruficollis,rødhalsgås,rödhalsad gås,,16382
Upupa epops,hærfugl,härfågel,RE,15854
Stercorarius skua,storjo,storlabb,,15750
Alle alle,alkekonge,alkekung,,15237
Larus hyperboreus,polarmåke,vittrut,,15230
Ichthyaetus melanocephalus,svartehavsmåke,svarthuvad mås,,14478
Somateria spectabilis,praktærfugl,praktejder,,14453
Bubo bubo,hubro,berguv,VU,14443
Anthus campestris,markpiplerke,fältpiplärka,CR,13144
Poecile cinctus,lappmeis,lappmes,NT,13106
Polysticta stelleri,stellerand,alförrädare,,12831
Lagopus muta,fjellrype,fjällripa,,12284
Streptopelia turtur,turteldue,turturduva,,12242
Motacilla citreola,sitronerle,citronärla,,12084
Anthus spinoletta,vannpiplerke,vattenpiplärka,,11902
Phylloscopus proregulus,fuglekongesanger,kungsfågelsångare,,11140
Netta rufina,rødhodeand,rödhuvad dykand,,10346
Falco rusticolus,jaktfalk,jaktfalk,EN,10281
Calidris melanotos,alaskasnipe,tuvsnäppa,,10160
Tringa stagnatilis,damsnipe,dammsnäppa,,9751
Gavia adamsii,gulnebblom,vitnäbbad islom,,8967
Gavia immer,islom,svartnäbbad islom,,8852
Emberiza pusilla,dvergspurv,dvärgsparv,VU,8438
Chlidonias leucopterus,hvitvingesvartterne,vitvingad tärna,,8392
Platalea leucorodia,skjestork,skedstork,,8234
Egretta garzetta,silkehegre,silkeshäger,,8207
Merops apiaster,bieter,biätare,,7831
Tadorna ferruginea,rustand,rostand,,7789
Alopochen aegyptiaca,niland,nilgås,SE,7673
Ciconia nigra,svartstork,svart stork,RE,7489
Certhia brachydactyla,kortklotrekryper,trädgårdsträdkrypare,EN,7463
Larus glaucoides,grønlandsmåke,vitvingad trut,,7141
Phalaropus fulicarius,polarsvømmesnipe,brednäbbad simsnäppa,,6906
Anser caerulescens,snøgås,snögås,LO,6694
Anthus richardi,tartarpiplerke,större piplärka,,6502
Aythya collaris,ringand,ringand,,6458
Mareca americana,amerikablesand,amerikansk bläsand,,6249
Larus michahellis,gulbeinmåke,medelhavstrut,,5966
Calidris subruficollis,rustsnipe,prärielöpare,,5925
Fratercula arctica,lunde,lunnefågel,RE,5887
Lanius minor,rosenvarsler,svartpannad törnskata,,5482
Galerida cristata,topplerke,tofslärka,RE,5477
Aquila nipalensis,steppeørn,stäppörn,,5293
Luscinia megarhynchos,sørnattergal,sydnäktergal,,5032
Pastor roseus,rosenstær,rosenstare,,5020
Tarsiger cyanurus,blåstjert,tajgablåstjärt,VU,4821
Phylloscopus humei,blekbrynsanger,bergtajgasångare,,4761
Phylloscopus fuscatus,brunsanger,brunsångare,,4756
Streptopelia orientalis,mongolturteldue,större turturduva,,4683
Saxicola maurus,asiasvartstrupe,vitgumpad buskskvätta,,4515
Turdus atrogularis,svartstrupetrost,svarthalsad trast,,4409
Puffinus puffinus,havlire,mindre lira,,4276
Xema sabini,sabinemåke,tärnmås,,4180
Calandrella brachydactyla,dverglerke,korttålärka,,4176
Xenus cinereus,tereksnipe,tereksnäppa,,4155
Melanitta perspicillata,brilleand,vitnackad svärta,,3962
Lanius senator,rødhodevarsler,rödhuvad törnskata,,3822
Plegadis falcinellus,bronseibis,bronsibis,,3790
Aythya nyroca,hvitøyeand,vitögd dykand,,3702
Spatula discors,blåvingeand,blåvingad årta,,3267
Limnodromus scolopaceus,langnebbekkasinsnipe,större beckasinsnäppa,,3216
Cygnus atratus,svartsvane,svart svan,LO,3199
Himantopus himantopus,stylteløper,styltlöpare,,3126
Pluvialis fulva,sibirlo,sibirisk tundrapipare,,3073
Burhinus oedicnemus,triel,tjockfot,,2791
Oenanthe deserti,ørkensteinskvett,ökenstenskvätta,,2783
Bubo scandiacus,snøugle,fjälluggla,RE,2624
Oenanthe pleschanka,svartstrupesteinskvett,nunnestenskvätta,,2503
Glareola nordmanni,steppebrakksvale,svartvingad vadarsvala,,2470
Larus delawarensis,ringnebbmåke,ringnäbbad mås,,2415
Coracias garrulus,blåråke,blåkråka,RE,2331
Phylloscopus borealis,lappsanger,nordsångare,EN,2272
Anas rubripes,rødfotand,svartand,,2152
Oenanthe isabellina,isabellasteinskvett,isabellastenskvätta,,2103
Prunella montanella,sibirjernspurv,sibirisk järnsparv,,2054
Oxyura jamaicensis,stivhaleand,amerikansk kopparand,LO,1986
Elanus caeruleus,svartvingeglente,svartvingad glada,,1986
Chlidonias hybrida,hvitkinnsvartterne,skäggtärna,,1982
Aquila heliaca,keiserørn,kejsarörn,,1945
Circaetus gallicus,slangeørn,ormörn,,1930
Calidris fuscicollis,bonapartesnipe,vitgumpsnäppa,,1794
Icterus galbula,lundtrupial,baltimoretrupial,,1787
Nycticorax nycticorax,natthegre,natthäger,,1777
Phylloscopus schwarzi,viersanger,videsångare,,1723
Aythya affinis,purpurhodeand,mindre bergand,,1656
Tringa flavipes,gulbeinsnipe,mindre gulbena,,1656
Ardeola ralloides,topphegre,rallhäger,,1632
Branta hutchinsii,polargås,polargås,LO,1512
Melanitta americana,amerikasvartand,amerikansk sjöorre,,1467
Anthus godlewskii,mongolpiplerke,mongolpiplärka,,1444
Cettia cetti,cettisanger,cettisångare,,1431
Anthus hodgsoni,sibirpiplerke,sibirisk piplärka,,1403
Gallinago delicata,kanadabekkasin,wilsonbeckasin,,1400
Tringa melanoleuca,plystresnipe,större gulbena,,1396
Sibirionetta formosa,gulkinnand,gulkindad kricka,,1358
Emberiza chrysophrys,gulbrynspurv,gulbrynad sparv,,1254
Apus pallidus,gråseiler,blek tornseglare,,1232
Tetrax tetrax,dvergtrappe,småtrapp,,1209
Pagophila eburnea,ismåke,ismås,,1201
Dendrocopos leucotos,hvitryggspett,vitryggig hackspett,CR,1184
Iduna caligata,tartarsanger,stäppsångare,,1168
Pelecanus crispus,krøllpelikan,krushuvad pelikan,,1145
Vanellus gregarius,steppevipe,stäppvipa,,1141
Aix sponsa,brudeand,brudand,LO,1122
Emberiza leucocephalos,hvithodespurv,tallsparv,,1096
Anser rossii,eskimogås,dvärgsnögås,LO,1091
Gelochelidon nilotica,sandterne,sandtärna,,1084
Phylloscopus ibericus,iberiagransanger,iberisk gransångare,,1076
Glareola pratincola,brakksvale,rödvingad vadarsvala,,1075
Actitis macularius,flekksnipe,fläckdrillsnäppa,,1021
Vanellus leucurus,sumpvipe,sumpvipa,,1014
Falco naumanni,rødfalk,rödfalk,,1011
Pluvialis dominica,kanadalo,amerikansk tundrapipare,,1005
Rhodostethia rosea,rosenmåke,rosenmås,,978
Curruca cantillans,rødsmekkesanger,rödstrupig sångare,,966
Lophodytes cucullatus,hjelmfiskand,kamskrake,LO,965
Calidris bairdii,gulbrystsnipe,gulbröstad snäppa,,953
Geronticus eremita,skallet ibis,eremitibis,,929
Turdus eunomus,svartflekktrost,bruntrast,,916
Numenius minutus,dvergspove,dvärgspov,,892
Ardea purpurea,purpurhegre,purpurhäger,,883
Hieraaetus pennatus,dvergørn,dvärgörn,,873
Motacilla tschutschensis,østgulerle,östlig gulärla,,870
Hippolais polyglotta,spottesanger,polyglottsångare,,851
Anthus rubescens,kanadapiplerke,hedpiplärka,,829
Prunella atrogularis,svartstrupejernspurv,svartstrupig järnsparv,,826
Calidris ruficollis,rødstrupesnipe,rödhalsad snäppa,,815
Dendrocoptes medius,mellomspett,mellanspett,RE,813
Curruca melanocephala,svarthodesanger,sammetshätta,,787
Glareola maldivarum,orientbrakksvale,orientvadarsvala,,784
Emberiza caesia,rustspurv,rostsparv,,755
Tyto alba,tårnugle,tornuggla,RE,741
Buteo rufinus,ørnvåk,örnvråk,,723
Vanellus cinereus,gråhodevipe,gråhuvad vipa,,673
Locustella lanceolata,stripesanger,träsksångare,,673
Emberiza melanocephala,svarthodespurv,svarthuvad sparv,,657
Zenaida macroura,sørgedue,spetsstjärtad duva,,655
Gyps fulvus,gåsegribb,gåsgam,,626
Prunella collaris,alpejernspurv,alpjärnsparv,,595
Emberiza spodocephala,gråhodespurv,gråhuvad sparv,,567
Hydrobates pelagicus,havsvale,stormsvala,,564
Phylloscopus bonelli,eikesanger,bergsångare,,563
Ptyonoprogne rupestris,klippesvale,klippsvala,,561
Psittacula krameri,halsbåndparakitt,halsbandsparakit,HI,536
Calidris himantopus,styltesnipe,styltsnäppa,,507
Acrocephalus agricola,åkersanger,fältsångare,,477
Calidris acuminata,spisshalesnipe,spetsstjärtad snäppa,,454
Lanius isabellinus,isabellavarsler,isabellatörnskata,,453
Thalassarche melanophris,svartbrynalbatross,svartbrynad albatross,,441
Chroicocephalus philadelphia,kanadahettemåke,trädmås,,438
Uria lomvia,polarlomvi,spetsbergsgrissla,,435
Curruca subalpina,rosensanger,moltonisångare,,416
Bucanetes githagineus,trompetfink,ökentrumpetare,,407
Spizelloides arborea,bjørkespurv,tundrasparv,,406
Emberiza cirlus,hekkspurv,häcksparv,,403
Emberiza aureola,sibirspurv,gyllensparv,,398
Calidris tenuirostris,sibirsnipe,kolymasnäppa,,389
Petrochelidon pyrrhonota,mursvale,stensvala,,389
Iduna pallida,bleksanger,eksångare,,380
Mareca falcata,sibirand,praktand,LO,366
Phalaropus tricolor,hvithalesvømmesnipe,wilsonsimsnäppa,,362
Limosa haemastica,svartvingespove,hudsonspov,,360
Microcarbo pygmaeus,dvergskarv,dvärgskarv,,351
Phylloscopus orientalis,furusanger,balkansångare,,346
Curruca iberiae,rødbrystsanger,rostsångare,,335
