latin,norsk,svensk,status,count
Pheucticus ludovicianus,rosenbrysttykknebb,brokig kardinal,,13
Phoenicopterus ruber,rødflamingo,karibflamingo,,13
Phoenicurus auroreus,aurorarødstjert,svartryggig rödstjärt,,13
Turdus migratorius,vandretrost,vandringstrast,,12
Zonotrichia albicollis,hvitstrupespurv,vitstrupig sparv,,12
Onychoprion fuscatus,sotterne,sottärna,,11
Eophona migratoria,orientkjernebiter,mindre maskstenknäck,,10
Aegypius monachus,munkegribb,grågam,,9
Tadorna cana,kapprustand,gråhuvad rostand,,9
Tringa brevipes,sibirvandresnipe,sibirisk gråsnäppa,,9
Sterna dougallii,rosenterne,rosentärna,,9
Cathartes aura,kalkunkondor,kalkongam,,8
Anas castanea,kastanjeand,kastanjekricka,,8
Catharus guttatus,eremittskogtrost,eremitskogstrast,,7
Lanius schach,rustvarsler,rostgumpad törnskata,,7
Geokichla sibirica,sibirtrost,sibirisk trast,,7
Coloeus dauuricus,mongolkaie,klippkaja,,6
Cuculus optatus,taigagjøk,tajgagök,,6
Emberiza cioides,engspurv,ängssparv,,6
Ficedula albicilla,taigafluesnapper,tajgaflugsnappare,,5
Anthus gustavi,tundrapiplerke,tundrapiplärka,,5
Haliaeetus leucocephalus,hvithodehavørn,vithövdad havsörn,,5
Cursorius cursor,ørkenløper,ökenlöpare,,5
Phylloscopus coronatus,østkronsanger,östlig kronsångare,,5
Butorides virescens,grønnrygghegre,grönryggig häger,,4
Passerina cyanea,indigospurv,turkoskardinal,,4
Bucephala islandica,islandsand,islandsknipa,,4
Anas capensis,kappand,kapand,LO,4
Iduna opaca,maurersanger,macchiasångare,,4
Emberiza fucata,rødkinnspurv,rödkindad sparv,,4
Carpodacus roseus,karminfink,sibirisk rosenfink,,4
Histrionicus histrionicus,harlekinand,strömand,,4
Apus affinis,småseiler,stubbstjärtseglare,,4
Phylloscopus neglectus,persersanger,dvärgsångare,,3
Larus smithsonianus,amerikagråmåke,kanadatrut,,3
Puffinus yelkouan,middelhavslire,medelhavslira,,3
Caprimulgus aegyptius,ørkennattravn,ökennattskärra,,3
Pyrrhocorax pyrrhocorax,alpekråke,alpkråka,,2
Emberiza buchanani,rødbrystspurv,bergortolan,,2
Sterna forsteri,prærieterne,kärrtärna,,2
Athene noctua,kirkeugle,minervauggla,,2
Aethia psittacula,papegøyealke,papegojalka,,2
Turdus ruficollis,rødstrupetrost,rödhalsad trast,,2
Ichthyaetus audouinii,middelhavsmåke,rödnäbbad trut,,2
Eophona personata,gråkjernebiter,större maskstenknäck,,2
Corvus albus,hvitbrystkråke,svartvit kråka,,2
Stercorarius maccormicki,sørjo,sydpolslabb,,2
Fratercula cirrhata,topplunde,tofslunne,,2
Ficedula semitorquata,balkanfluesnapper,balkanflugsnappare,,1
Dendrocopos syriacus,syriaspett,balkanspett,,1
Passerina caerulea,blåtykknebb,blåkardinal,,1
Charadrius semipalmatus,amerikasandlo,flikstrandpipare,,1
Hylocichla mustelina,flekkskogtrost,fläckskogstrast,,1
Pinguinus impennis,geirfugl,garfågel,,1
Thalasseus albididorsalis,høvdingterne,guineatärna,,1
Oxyura leucocephala,hvithodeand,kopparand,,1
Hippolais olivetorum,olivensanger,olivsångare,,1
Spilopelia senegalensis,palmedue,palmduva,,1
Catharus fuscescens,viriskogtrost,rostskogstrast,,1
Vireo olivaceus,rødøyevireo,rödögd vireo,,1
Gallinago stenura,sibirbekkasin,sibirisk beckasin,,1
Emberiza bruniceps,brunhodespurv,stäppsparv,,1
Saxicola caprata,svartskvett,svart buskskvätta,,1
Sturnus unicolor,middelhavsstær,svartstare,,1
Zonotrichia leucophrys,hvitkronespurv,vitkronad sparv,,1
Ciconia abdimii,blåmaskestork,blåkindad stork,,0
Psittacula eupatria,aleksanderparakitt,alexanderparakit,LO,0
Aythya americana,kobberhodeand,amerikansk brunand,,0
Botaurus lentiginosus,amerikarørdrum,amerikansk rördrom,,0
Fulica americana,amerikasothøne,amerikansk sothöna,,0
Diomedea amsterdamensis,beltealbatross,amsterdamalbatross,,0
Agropsar sturninus,mandsjuriastær,amurstare,,0
Diomedea antipodensis,antipodealbatross,antipodalbatross,,0
Ardeola bacchus,vinhegre,bacchushäger,,0
Tachyspiza brevipes,balkanhauk,balkanhök,,0
Haliaeetus leucoryphus,båndhavørn,bandhavsörn,,0
Callonetta leucophrys,prydand,beigekindad and,LO,0
Ara ararauna,blågulara,blågul ara,,0
Egretta caerulea,blåhegre,blåhäger,,0
Lamprotornis chalybaeus,blåøreglansstær,blåkindad glansstare,,0
Larvivora cyane,asurnattergal,blånäktergal,,0
Dolichonyx oryzivorus,bobolink,bobolink,,0
Vidua obtusa,bredhaleenke,bredstjärtad paradisänka,,0
Riparia paludicola,brunsandsvale,brunstrupig backsvala,,0
Pterodroma deserta,desertaspetrell,desertaspetrell,,0
Vidua macroura,dominikanerenke,dominikaneränka,,0
Astur gentilis,hønsehauk,duvhök,NT,0
Puffinus assimilis,dverglire,dvärglira,,0
Botaurus minutus,dvergrørdrum,dvärgrördrom,,0
Zapornia pusilla,dvergrikse,dvärgsumphöna,,0
Eudromias morinellus,boltit,fjällpipare,,0
Pelagodroma marina,fregattstormsvale,fregattstormsvala,,0
Somateria fischeri,brilleærfugl,glasögonejder,,0
Muscicapa dauurica,brunfluesnapper,glasögonflugsnappare,,0
Curruca conspicillata,maskesanger,glasögonsångare,,0
Ardenna grisea,grålire,grålira,,0
Catharus minimus,gråkinnskogtrost,gråkindad skogstrast,,0
Setophaga coronata,myrteparula,myrtenskogssångare,,0
Xanthocephalus xanthocephalus,gulhodetrupial,gulhuvad ängstrupial,,0
Coccyzus americanus,gulnebbgjøk,gulnäbbad regngök,,0
Mycerobas affinis,gullkjernebiter,halsbandsstenknäck,,0
Oceanites oceanicus,oseanstormsvale,havslöpare,,0
Curruca hortensis,punersanger,herdesångare,,0
Loxia megaplaga,hispaniolakorsnebb,hispaniolakorsnäbb,,0
Corvus splendens,huskråke,huskråka,LO,0
Curruca nisoria,hauksanger,höksångare,VU,0
Thalasseus bengalensis,bengalterne,iltärna,,0
Grus virgo,jomfrutrane,jungfrutrana,,0
Anarhynchus mongolus,kamtsjatkalo,kamtjatkapipare,,0
Serinus canaria,kanariirisk,kanariesiska,,0
Pterodroma feae,kappverdepetrell,kapverdepetrell,,0
Anarhynchus asiaticus,rødbrystlo,kaspisk pipare,,0
Acridotheres cristatellus,krøllstær,kinesisk majna,,0
Hydrobates leucorhous,stormsvale,klykstjärtad stormsvala,,0
Thalasseus maximus,kongeterne,kungstärna,,0
Passerina amoena,lazulispurv,lazulikardinal,,0
Pterodroma madeira,madeirapetrell,madeirapetrell,,0
Butorides atricapilla,,mangrovehäger,,0
Alaudala rufescens,flekkdverglerke,medelhavsdvärglärka,,0
Setophaga americana,stryparula,messkogssångare,,0
Ploceus intermedius,småmaskevever,mindre maskvävare,,0
Clanga pomarina,småskrikørn,mindre skrikörn,,0
Thinornis dubius,dverglo,mindre strandpipare,,0
Zapornia parva,sumprikse,mindre sumphöna,,0
Alauda gulgula,orientlerke,mindre sånglärka,,0
Ficedula mugimaki,mugimakifluesnapper,mugimakiflugsnappare,,0
Tichodroma muraria,murkryper,murkrypare,,0
Curruca crassirostris,mestersanger,mästersångare,,0
Ficedula narcissina,narsissfluesnapper,narcissflugsnappare,,0
Nymphicus hollandicus,nymfekakadu,nymfparakit,,0
Hydrobates castro,passatstormsvale,oceanlöpare,,0
Chloris sinica,orientfink,orientgrönfink,,0
Delichon dasypus,orienttaksvale,orienthussvala,,0
Anarhynchus veredus,steppelo,orientpipare,,0
Fregata magnificens,praktfregattfugl,praktfregattfågel,,0
Curruca undata,vinsanger,provencesångare,,0
Antigone canadensis,kanadatrane,prärietrana,,0
Lamprotornis purpureus,purpurglansstær,purpurglansstare,,0
Ianthocincla ocellata,plettlattertrost,pärlfnittertrast,,0
Passerina ciris,pavespurv,påvekardinal,,0
Calliope calliope,rubinstrupe,rubinnäktergal,,0
Emberiza rutila,kastanjespurv,rödbrun sparv,,0
Pycnonotus cafer,rødgumpbylbyl,rödgumpad bulbyl,LO,0
Pycnonotus jocosus,rødørebylbyl,rödörad bulbyl,,0
Pterodroma mollis,silkepetrell,sammetspetrell,,0
Alaudala raytal,sanddverglerke,sanddvärglärka,,0
Curruca sarda,sardiniasanger,sardinsk sångare,,0
Aquila rapax,savanneørn,savannörn,,0
Alaudala cheleensis,saltdverglerke,sidenvägsdvärglärka,,0
Lophura nycthemera,sølvfasan,silverfasan,,0
Calidris pygmaea,skjesnipe,skedsnäppa,,0
Larus schistisagus,skifermåke,skiffertrut,,0
Charadrius vociferus,tobeltelo,skrikstrandpipare,,0
Leucogeranus leucogeranus,snøtrane,snötrana,,0
Bulweria bulwerii,spisshalepetrell,spetsstjärtad petrell,,0
Vanellus spinosus,sporevipe,sporrvipa,,0
Helopsaltes certhiola,starrsanger,starrsångare,,0
Alectoris graeca,steinhøne,stenhöna,,0
Petronia petronia,steinspurv,stensparv,,0
Ardenna gravis,storlire,större lira,,0
Carpodacus rubicilla,fjellrosenfink,större rosenfink,,0
Clanga clanga,storskrikørn,större skrikörn,,0
Anarhynchus alexandrinus,hvitbrystlo,svartbent strandpipare,RE,0
Hypsipetes leucocephalus,svartbylbyl,svartbulbyl,,0
Curruca ruppeli,svartstrupesanger,svarthakad sångare,,0
Chloris ambigua,yunnanfink,svarthuvad grönfink,,0
Aythya valisineria,kanvasand,svartnäbbad brunand,,0
Coccyzus erythropthalmus,svartnebbgjøk,svartnäbbad regngök,,0
Calamospiza melanocorys,svartspurv,svartsparv,,0
Mniotilta varia,klatreparula,svartvit skogssångare,,0
Gallinago megala,bajkalbekkasin,tajgabeckasin,,0
Gallus gallus,bankivahane,tamhöna,,0
Anarhynchus atrifrons,tibetlo,tibetpipare,,0
Podilymbus podiceps,ringnebbdykker,tjocknäbbad dopping,,0
Pernis ptilorhynchus,orientvepsevåk,tofsbivråk,,0
Gulosus aristotelis,toppskarv,toppskarv,NT,0
Diomedea dabbenena,tristanalbatross,tristanalbatross,,0
Cercotrichas galactotes,hekkskvett,trädnäktergal,,0
Alaudala heinei,turkestandverglerke,turkestandvärglärka,,0
Curruca communis,tornsanger,törnsångare,,0
Melopsittacus undulatus,undulat,undulat,,0
Diomedea exulans,vandrealbatross,vandringsalbatross,,0
Colinus virginianus,nordkrattvaktel,virginiavaktel,,0
Pycnonotus leucotis,hvitørebylbyl,vitkindad bulbyl,,0
Setophaga striata,svarthetteparula,vitkindad skogssångare,,0
Alauda leucoptera,hvitvingelerke,vitvingad lärka,,0
Tringa semipalmata,willetsnipe,willet,,0
Curruca curruca,møller,ärtsångare,,0
Anarhynchus leschenaultii,ørkenlo,ökenpipare,,0
Curruca nana,ørkensanger,ökensångare,,0
Nannopterum auritum,totoppskarv,öronskarv,,0
